black_strategy,white_strategy,turn,white_move,black_move,winner,black_stones,white_stones,black_tau,white_tau,black_obligations,white_obligations,black_pair_atoms,white_pair_atoms,black_bulk_pressure,white_bulk_pressure,black_family_max,white_family_max,value_after_white,value_after_black
hybrid,earliest,2,"[[2, 0], [-1, -1]]","[[0, 3], [0, 4]]",,7,6,1,0,2,0,0,0,40.19999999999998,18.19999999999999,2,0,0.0,-1999.85
hybrid,earliest,3,"[[-1, 0], [2, -1]]","[[1, -2], [0, 5]]",black,9,8,1,1,1,1,0,0,1034.0000000000016,36.8,1,1,0.0,-1000000000.0
hybrid,min_tau,0,"[[1, 0], [1, -1]]","[[0, 1], [1, 1]]",,3,2,0,0,0,0,0,0,12.399999999999999,3.000000000000001,0,0,0,-1.1299999999999994
hybrid,min_tau,1,"[[0, -1], [-1, 1]]","[[0, 2], [3, -1]]",,5,4,0,0,0,0,0,0,19.4,7.000000000000002,0,0,0,-0.7299999999999991
hybrid,min_tau,2,"[[2, 0], [-1, -1]]","[[0, 3], [0, 4]]",,7,6,1,0,2,0,0,0,40.19999999999998,18.19999999999999,2,0,0,-1999.85
hybrid,min_tau,3,"[[2, -1], [0, 5]]","[[-2, -1], [2, 1]]",,9,8,0,0,0,0,0,0,14.399999999999993,12.999999999999996,0,0,-400,2.9699999999999998
hybrid,min_tau,4,"[[-1, 0], [-1, 2]]","[[-1, -2], [-1, 4]]",,11,10,0,0,0,0,0,0,26.399999999999995,12.999999999999995,0,0,-800,0.5699999999999985
hybrid,min_tau,5,"[[1, -2], [-2, 1]]","[[2, -3], [-4, 3]]",,13,12,0,0,0,0,0,0,28.39999999999999,10.799999999999997,0,0,-800,-0.8200000000000003
hybrid,min_tau,6,"[[3, 0], [1, -3]]","[[1, -4], [-4, 1]]",,15,14,1,0,1,0,0,0,38.4,10.999999999999996,1,0,-400,-2002.73
hybrid,min_tau,7,"[[0, -3], [-3, 0]]","[[-4, 2], [-4, 4]]",,17,16,2,0,3,0,0,0,46.2,11.599999999999998,3,0,0,-4004.02
hybrid,min_tau,8,"[[-4, 0], [-4, 5]]","[[-3, 4], [-2, 4]]",,19,18,2,0,4,0,0,0,79.4,15.199999999999996,4,0,0,-4009.04
hybrid,min_tau,9,"[[-5, 4], [1, 4]]","[[-1, 3], [4, 1]]",,21,20,2,0,2,0,0,0,30.2,15.399999999999995,1,0,0,-3999.11
hybrid,min_tau,10,"[[3, 1], [-3, 5]]","[[-3, 3], [-2, 3]]",,23,22,2,0,4,0,0,0,73.4,20.199999999999996,4,0,0,-4005.5899999999997
hybrid,min_tau,11,"[[1, 3], [-5, 3]]","[[-5, 0], [-2, 5]]",,25,24,1,0,1,0,0,0,9.8,11.4,1,0,0,-1996.83
hybrid,min_tau,12,"[[1, 2], [4, 0]]","[[2, -4], [5, 0]]",,27,26,0,0,0,0,0,0,5.000000000000001,7.600000000000001,0,0,-400,2.420000000000001
hybrid,min_tau,13,"[[3, -2], [2, 2]]","[[5, -1], [5, -4]]",,29,28,0,0,0,0,0,0,15.399999999999999,5.200000000000001,0,0,-400,-0.7399999999999993
hybrid,min_tau,14,"[[2, -2], [0, -2]]","[[5, -2], [5, -3]]",,31,30,2,0,3,0,0,0,66.4,6.000000000000001,3,0,-400,-4010.5800000000004
hybrid,min_tau,15,"[[5, -5], [5, 1]]","[[4, -4], [3, -4]]",,33,32,2,0,3,0,0,0,61.60000000000001,5.6000000000000005,3,0,0,-4009.8
hybrid,min_atoms,0,"[[1, 0], [1, -1]]","[[0, 1], [1, 1]]",,3,2,0,0,0,0,0,0,12.399999999999999,3.000000000000001,0,0,0,-1.1299999999999994
hybrid,min_atoms,1,"[[0, -1], [-1, 1]]","[[0, 2], [3, -1]]",,5,4,0,0,0,0,0,0,19.4,7.000000000000002,0,0,0,-0.7299999999999991
hybrid,min_atoms,2,"[[2, 0], [-1, -1]]","[[0, 3], [0, 4]]",,7,6,1,0,2,0,0,0,40.19999999999998,18.19999999999999,2,0,0,-1999.85
hybrid,min_atoms,3,"[[-1, 0], [0, 5]]","[[-1, 2], [-2, -1]]",,9,8,0,0,0,0,0,0,13.799999999999994,15.79999999999999,0,0,0,4.349999999999997
hybrid,min_atoms,4,"[[1, -2], [-2, 1]]","[[-3, 2], [3, -4]]",,11,10,0,0,0,0,0,0,23.999999999999982,15.59999999999999,0,0,0,2.2199999999999998
hybrid,min_atoms,5,"[[-2, 2], [3, 0]]","[[-1, -2], [1, -4]]",,13,12,0,0,0,0,0,0,23.199999999999992,11.39999999999999,0,0,0,0.48999999999999666
hybrid,min_atoms,6,"[[0, -3], [-3, 0]]","[[2, -4], [0, -4]]",,15,14,2,0,3,0,0,0,35.2,11.79999999999999,3,0,0,-4001.73
hybrid,min_atoms,7,"[[4, -4], [-1, -4]]","[[-2, 3], [4, 0]]",,17,16,0,0,0,0,0,0,15.599999999999994,8.4,0,0,0,0.660000000000001
hybrid,min_atoms,8,"[[3, -3], [-3, 3]]","[[-4, 4], [-4, 5]]",,19,18,1,0,1,0,0,0,20.399999999999995,11.599999999999998,1,0,0,-1998.86
hybrid,min_atoms,9,"[[2, -2], [-3, 4]]","[[2, 2], [5, -5]]",,21,20,0,0,0,0,0,0,18.2,9.599999999999998,0,0,0,0.6799999999999993
hybrid,min_atoms,10,"[[1, -3], [1, 2]]","[[1, 3], [3, 1]]",,23,22,2,0,4,0,0,0,77.00000000000001,18.799999999999997,4,0,0,-4006.94
hybrid,min_atoms,11,"[[5, -1], [-1, 5]]","[[-1, 3], [2, 1]]",,25,24,2,0,2,0,0,0,22.4,17.999999999999996,2,0,0,-3996.38
hybrid,min_atoms,12,"[[2, 3], [4, 1]]","[[2, -3], [1, 4]]",,27,26,0,0,0,0,0,0,6.2,6.600000000000001,0,0,0,1.7300000000000004
hybrid,min_atoms,13,"[[0, -2], [-2, 0]]","[[-4, 2], [-4, 6]]",,29,28,2,0,2,0,0,0,21.6,9.2,1,0,0,-4000.1800000000003
hybrid,min_atoms,14,"[[-4, 1], [-2, 4]]","[[-4, 0], [-5, 1]]",,31,30,0,0,0,0,0,0,6.600000000000001,5.2,0,0,0,1.02
hybrid,min_atoms,15,"[[3, -2], [4, -2]]","[[-1, -3], [5, -2]]",,33,32,1,0,1,0,0,0,16.399999999999995,2.6,1,0,0,-2002.11
hybrid,min_bulk,0,"[[1, 0], [1, -1]]","[[0, 1], [1, 1]]",,3,2,0,0,0,0,0,0,12.399999999999999,3.000000000000001,0,0,-1.2700000000000011,-1.1299999999999994
hybrid,min_bulk,1,"[[0, -1], [-1, 1]]","[[0, 2], [3, -1]]",,5,4,0,0,0,0,0,0,19.4,7.000000000000002,0,0,0.23000000000000087,-0.7299999999999991
hybrid,min_bulk,2,"[[2, 0], [0, 3]]","[[-1, 2], [1, 2]]",,7,6,0,0,0,0,0,0,17.599999999999998,8.6,0,0,0.7600000000000029,0.35000000000000053
hybrid,min_bulk,3,"[[-3, 2], [2, 2]]","[[2, -1], [1, -2]]",,9,8,0,0,0,0,0,0,5.800000000000001,7.000000000000002,0,0,-0.9899999999999949,1.9900000000000007
hybrid,min_bulk,4,"[[-2, 3], [-1, 3]]","[[-4, 3], [1, 3]]",,11,10,0,0,0,0,0,0,4.600000000000001,5.000000000000002,0,0,-3.1999999999999953,1.3300000000000005
hybrid,min_bulk,5,"[[-3, -1], [-4, -1]]","[[-2, -1], [-3, 0]]",,13,12,0,0,0,0,0,0,9.799999999999999,4.000000000000001,0,0,-2.309999999999995,-0.15999999999999948
hybrid,min_bulk,6,"[[-1, -2], [-4, 0]]","[[3, 0], [-1, -3]]",,15,14,0,0,0,0,0,0,8.000000000000002,1.9999999999999998,0,0,0.81,-0.7000000000000006
hybrid,min_bulk,7,"[[3, -2], [2, 1]]","[[2, -3], [0, -3]]",,17,16,0,0,0,0,0,0,11.799999999999997,1.7999999999999998,0,0,0.7000000000000001,-1.5499999999999994
hybrid,min_bulk,8,"[[1, -3], [2, -4]]","[[-2, 0], [-2, -3]]",,19,18,0,0,0,0,0,0,6.6000000000000005,2.8,0,0,-1.4300000000000002,-0.060000000000000275
hybrid,min_bulk,9,"[[-2, 1], [-3, 1]]","[[-4, 1], [-3, 4]]",,21,20,0,0,0,0,0,0,1.8,3.1999999999999997,0,0,-2.32,1.0799999999999998
hybrid,min_bulk,10,"[[-2, 2], [-2, 4]]","[[-4, 4], [-2, 5]]",,23,22,0,0,0,0,0,0,3.6,2.0,0,0,-2.849999999999999,0.17999999999999994
hybrid,min_bulk,11,"[[4, -4], [-4, 5]]","[[3, -4], [4, -6]]",,25,24,0,0,0,0,0,0,0.4,1.4,0,0,-2.0300000000000002,0.55
hybrid,min_bulk,12,"[[5, -5], [6, -6]]","[[2, -2], [4, -5]]",,27,26,0,0,0,0,0,0,0.4,0.8,0,0,-3.089999999999999,0.28
hybrid,min_bulk,13,"[[5, -1], [5, -2]]","[[5, -3], [4, 1]]",,29,28,0,0,0,0,0,0,1.2,0.2,0,0,-2.19,-0.14999999999999997
hybrid,min_bulk,14,"[[0, 5], [6, -1]]","[[4, 0], [6, -2]]",,31,30,0,0,0,0,0,0,1.4,0.0,0,0,0.1800000000000001,-0.27999999999999997
hybrid,min_bulk,15,"[[3, -5], [4, 2]]","[[5, -6], [0, -6]]",,33,32,0,0,0,0,0,0,3.2,0.4,0,0,0.060000000000000026,-0.4600000000000001
hybrid,min_family,0,"[[1, 0], [1, -1]]","[[0, 1], [1, 1]]",,3,2,0,0,0,0,0,0,12.399999999999999,3.000000000000001,0,0,0.0,-1.1299999999999994
hybrid,min_family,1,"[[0, -1], [-1, 1]]","[[0, 2], [3, -1]]",,5,4,0,0,0,0,0,0,19.4,7.000000000000002,0,0,0.0,-0.7299999999999991
hybrid,min_family,2,"[[2, 0], [-1, -1]]","[[0, 3], [0, 4]]",,7,6,1,0,2,0,0,0,40.19999999999998,18.19999999999999,2,0,0.0,-1999.85
hybrid,min_family,3,"[[-1, 0], [0, 5]]","[[-1, 2], [-2, -1]]",,9,8,0,0,0,0,0,0,13.799999999999994,15.79999999999999,0,0,0.0,4.349999999999997
hybrid,min_family,4,"[[1, -2], [-2, 1]]","[[-3, 2], [3, -4]]",,11,10,0,0,0,0,0,0,23.999999999999982,15.59999999999999,0,0,0.0,2.2199999999999998
