opening_id,radius,white_pair,best_black_reply,score,nodes,cache_hits,final_class,black_tau,white_tau,black_obligations,white_obligations,black_bulk_pressure,white_bulk_pressure,principal_variation
O0001,3,"[[-1, 0], [-1, 1]]","[[0, -1], [0, 1]]",0.07,2504,513,black_bulk_edge,0,0,0,0,6.4,1.0,"[{""move"": [[0, -1], [0, 1]], ""player"": ""black"", ""score"": 0.06999999999999999}, {""move"": [[2, -1], [0, -2]], ""player"": ""white"", ""score"": 0.06999999999999999}, {""move"": [[1, 0], [-1, -1]], ""player"": ""black"", ""score"": 0.06999999999999999}]"
O0002,3,"[[-1, 0], [0, 1]]","[[1, -1], [-1, 1]]",1.05,1762,430,black_bulk_edge,0,0,0,0,6.4,0.4,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": 1.0499999999999998}, {""move"": [[1, 0], [2, -2]], ""player"": ""white"", ""score"": 1.0499999999999998}, {""move"": [[0, -1], [2, -1]], ""player"": ""black"", ""score"": 1.0499999999999998}]"
O0003,3,"[[-1, 0], [1, 0]]","[[1, -1], [0, -1]]",6621.45,1004,200,screened_or_balanced,0,0,0,0,5.0,0.4,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6621.45}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6621.45}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6621.45}]"
O0004,3,"[[-2, 0], [-2, 1]]","[[1, -1], [0, -1]]",6620.82,3356,204,screened_or_balanced,0,0,0,0,5.2,0.2,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6620.82}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6620.82}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6620.82}]"
O0005,3,"[[-2, 0], [-2, 2]]","[[0, -1], [-1, 0]]",1.26,2888,423,screened_or_balanced,0,0,0,0,3.4,0.0,"[{""move"": [[0, -1], [-1, 0]], ""player"": ""black"", ""score"": 1.26}, {""move"": [[0, 1], [1, -2]], ""player"": ""white"", ""score"": 1.26}, {""move"": [[1, -1], [-1, -1]], ""player"": ""black"", ""score"": 1.26}]"
