abstract_key,family,abstract_realizations,lattice_count,lattices,k_values,min_support_size,obligations,tau,tau_star,spectral_gap,low_mode_degeneracy
"[[0, 1], [0, 2], [1, 3], [2, 4], [3, 4]]",C5 pair atom,557,2,"{""A2_hex"": 12, ""Z2_diag"": 545}","[4, 5, 6]",5,5,3,2.5,1.3819660112501044,2
"[[0, 1], [0, 2], [0, 3], [1, 2], [1, 3], [2, 3]]",K4 pair atom,12,1,"{""Z2_diag"": 12}","[4, 5, 6]",4,6,3,2.0,3.9999999999999982,3
