template_id,source_event_id,kind,tau,pressure,terminal,attacker_stones,defender_stones,move_stones,obligation_edges,num_attacker_stones,num_defender_stones,num_obligations,num_obligation_vertices,pair_shape,shape_kind,family,line_axis_support,canonical_signature,frequency,automorphism_group_size,number_of_vertices,number_of_edges,edge_size_histogram,singleton_count,pair_edge_count,transversal_number_tau,number_of_minimum_transversals,intersection_graph_density,laplacian_spectrum,source_counts
T_0001,E000000000,proto,3,1,0,"[[-1,1],[-1,2],[0,-1],[0,0]]","[[0,3],[1,-1]]","[[-1,0],[0,-2]]","[[[-1,-3],[-1,-2],[-1,-1]],[[-1,-2],[-1,-1],[-1,3]],[[-1,-1],[-1,3],[-1,4]],[[-1,3],[-1,4],[-1,5]],[[0,-5],[0,-4],[0,-3]],[[0,-4],[0,-3],[0,1]],[[0,-3],[0,1],[0,2]]]",4,2,7,11,"(-2, 1)",bridge,bridge_fork,three-axis,d130dc1c0b38b23a4dd6ec6acc5348c8a65a0997,1,1,11,7,"{""3"":7}",0,0,3,6,0.38095238095238093,"-3.039e-16,1.16e-15,1.326,1.697,3,3.209,4.346,5.303","{""opening"":1}"
T_0002,E000000001,proto,4,2,0,"[[-2,2],[-1,1],[-1,2]]","[[2,-2]]","[[-3,2],[-1,0]]","[[[-6,2],[-5,2],[-4,2]],[[-5,2],[-4,2],[0,2]],[[-4,2],[0,2],[1,2]],[[-1,-3],[-1,-2],[-1,-1]],[[-1,-2],[-1,-1],[-1,3]],[[-1,-1],[-1,3],[-1,4]],[[-1,3],[-1,4],[-1,5]],[[0,2],[1,2],[2,2]]]",3,1,8,12,"(-2, 0)",rail,rail_ladder,three-axis,813f6e4fae5803efc738a3cedc1cfcdd08078078,1,1,12,8,"{""3"":8}",0,0,4,36,0.35714285714285715,"-1.21e-15,1.165e-16,1.326,1.326,3,3,4.346,4.346","{""opening"":1}"
T_0003,E000000002,proto,3,1,0,"[[-2,2],[-1,2],[0,-1],[0,0]]","[[1,-1]]","[[-3,2],[0,-2]]","[[[-6,2],[-5,2],[-4,2]],[[-5,2],[-4,2],[0,2]],[[-4,2],[0,2],[1,2]],[[0,-5],[0,-4],[0,-3]],[[0,-4],[0,-3],[0,1]],[[0,-3],[0,1],[0,2]],[[0,1],[0,2],[0,3]],[[0,2],[1,2],[2,2]]]",4,1,8,11,"(-4, 1)",kink,kink_bridge,three-axis,2df0c81bb4eae78ebb0ddff601dc840272849a54,1,1,11,8,"{""3"":8}",0,0,3,6,0.5714285714285714,"5.152e-16,0.6902,1.346,1.721,3.098,3.375,4.369,5.854","{""opening"":1}"
T_0004,E000000003,exact,3,1,1,"[[-3,0],[-2,0],[-1,-1],[-1,0],[0,-1],[0,0],[1,0],[2,-1]]","[[3,-1]]","[[1,-1],[2,0]]","[[[-4,0]],[[3,0]],[[-3,-1],[-2,-1]]]",8,1,3,4,"(-2, 1)",bridge,bridge_fork,three-axis,72d3766319ae5d23ea19972e4f6a583655d7c85d,1,1,4,3,"{""1"":2,""2"":1}",2,1,3,2,0.0,"0,0,0,2","{""adversarial"":1}"
T_0005,E000000004,proto,6,4,1,"[[-3,0],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]","[[2,-4],[3,-1]]","[[1,-1],[2,0]]","[[[-4,0]],[[3,0]],[[-5,3],[-4,2],[-3,1]],[[-4,-1],[-3,-1],[-2,-1]],[[-4,2],[-3,1],[1,-3]],[[-3,-1],[-2,-1],[2,-1]],[[0,-5],[0,-4],[0,-3]],[[0,-4],[0,-3],[0,1]],[[0,-3],[0,1],[0,2]],[[0,1],[0,2],[0,3]]]",8,2,10,16,"(-2, 1)",bridge,bridge_fork,three-axis,c898af67438ae02a84f803cedcbd3bd3ff177454,1,1,16,10,"{""1"":2,""3"":8}",2,0,6,24,0.15555555555555556,"-7.046e-16,-1.757e-16,-3.125e-17,0,1.735e-16,1.326,2,2","{""adversarial"":1}"
T_0006,E000000005,exact,5,3,1,"[[-3,0],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0],[2,-1]]",[],"[[0,1],[2,0]]","[[[-4,0]],[[3,0]],[[-3,-1],[1,-1]],[[0,-4],[0,-3]],[[0,-3],[0,2]],[[0,2],[0,3]],[[1,-1],[3,-1]]]",10,0,7,9,"(-2, 1)",bridge,bridge_fork,three-axis,e2b59660eba5f04fe7b413b03fdc89e6d77a54a4,1,1,9,7,"{""1"":2,""2"":5}",2,5,5,3,0.14285714285714285,"-4.426e-16,0,0,3.925e-17,0.5858,1,2,3","{""adversarial"":1}"
T_0007,E000000006,proto,8,6,1,"[[-3,0],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0],[2,-1]]","[[2,-4]]","[[0,1],[2,0]]","[[[-4,0]],[[3,0]],[[0,-4],[0,-3]],[[0,-3],[0,2]],[[0,2],[0,3]],[[-5,3],[-4,2],[-3,1]],[[-4,2],[-3,1],[1,-3]],[[-3,-1],[-2,-1],[1,-1]],[[-3,4],[-2,3],[-1,2]],[[-2,-1],[1,-1],[3,-1]],[[-2,3],[-1,2],[3,-2]],[[-1,2],[3,-2],[4,-3]],[[1,-1],[3,-1],[4,-1]],[[3,-2],[4,-3],[5,-4]]]",9,1,14,21,"(-2, 1)",bridge,bridge_fork,three-axis,b30b5d7b6c9a5ab5fd99bfacafccfddb9c54721a,1,1,21,14,"{""1"":2,""2"":3,""3"":9}",2,3,8,-1,0.12087912087912088,"-1.118e-15,-9.22e-17,-9.163e-18,1.625e-16,4.284e-16,6.972e-16,0.5858,1.326","{""adversarial"":1}"
T_0008,E000000007,exact,4,2,1,"[[-3,0],[-2,0],[-1,-1],[-1,0],[0,-2],[0,0],[1,0]]",[],"[[1,-3],[2,0]]","[[[-4,0]],[[3,0]],[[-4,2],[-3,1]],[[-3,1],[2,-4]],[[2,-4],[3,-5]]]",7,0,5,6,"(-4, 1)",kink,kink_bridge,three-axis,078170c22b9373b345fe9e57ed04ec3ece4e24f7,1,1,6,5,"{""1"":2,""2"":3}",2,3,4,3,0.2,"0,0,5.045e-17,0.5858,2,3.414","{""adversarial"":1}"
