template_id,source_event_id,kind,tau,pressure,terminal,attacker_stones,defender_stones,move_stones,obligation_edges,num_attacker_stones,num_defender_stones,num_obligations,num_obligation_vertices,pair_shape,shape_kind,family,line_axis_support,canonical_signature,frequency,automorphism_group_size,number_of_vertices,number_of_edges,edge_size_histogram,singleton_count,pair_edge_count,transversal_number_tau,number_of_minimum_transversals,intersection_graph_density,laplacian_spectrum,source_counts
T_0011,E000000424,proto,5,3,0,"[[0,-1],[0,0],[1,-2],[1,-1],[1,0]]",[],"[[-2,1],[0,1]]","[[[-4,3],[-3,2],[-1,0]],[[-3,2],[-1,0],[2,-3]],[[-1,0],[2,-3],[3,-4]],[[0,-4],[0,-3],[0,-2]],[[0,-3],[0,-2],[0,2]],[[0,-2],[0,2],[0,3]],[[0,2],[0,3],[0,4]],[[1,-5],[1,-4],[1,-3]],[[1,-4],[1,-3],[1,1]],[[1,-3],[1,1],[1,2]],[[1,1],[1,2],[1,3]]]",5,0,11,17,"(-2, 0)",rail,rail_ladder,three-axis,89658c8dee1a2a04815c6e26567224bbc11bbe62,2,1,17,11,"{""3"":11}",0,0,5,36,0.23636363636363636,"2.737e-16,8.955e-16,1.157e-15,1.326,1.326,1.697,3,3","{""rail"":2}"
T_0012,E000000442,proto,5,3,0,"[[0,-1],[0,0],[1,-2],[1,-1],[1,0]]",[],"[[0,1],[3,-4]]","[[[-2,1],[-1,0],[2,-3]],[[-1,0],[2,-3],[4,-5]],[[0,-4],[0,-3],[0,-2]],[[0,-3],[0,-2],[0,2]],[[0,-2],[0,2],[0,3]],[[0,2],[0,3],[0,4]],[[1,-5],[1,-4],[1,-3]],[[1,-4],[1,-3],[1,1]],[[1,-3],[1,1],[1,2]],[[1,1],[1,2],[1,3]],[[2,-3],[4,-5],[5,-6]]]",5,0,11,17,"(-5, 2)",kink,kink_bridge,three-axis,cb64126a36ae51d6642bdb6ac75bd0de8b22f54c,2,1,17,11,"{""3"":11}",0,0,5,36,0.23636363636363636,"-1.551e-15,5.852e-16,2.758e-15,1.326,1.326,1.697,3,3","{""rail"":2}"
T_0013,E000000638,proto,3,1,0,"[[0,1],[1,-1],[1,0]]",[],"[[-2,-1],[2,-1]]","[[[-3,-1],[-1,-1],[0,-1]],[[-3,4],[-2,3],[-1,2]],[[-2,3],[-1,2],[3,-2]],[[-1,-1],[0,-1],[3,-1]],[[-1,2],[3,-2],[4,-3]],[[3,-2],[4,-3],[5,-4]]]",3,0,6,10,"(-4, 0)",rail,rail_ladder,three-axis,2994a9829470f90c8fe6fd2cda2577c91908790d,2,1,10,6,"{""3"":6}",0,0,3,12,0.4,"-2.186e-16,-5.498e-17,1.326,2,3,4,4.346,6","{""opening"":2}"
T_0014,E000000659,proto,3,1,0,"[[0,-1],[1,-1],[1,0]]","[[-1,0]]","[[1,-2],[2,-3]]","[[[1,-5],[1,-4],[1,-3]],[[1,-4],[1,-3],[1,1]],[[1,-3],[1,1],[1,2]],[[1,1],[1,2],[1,3]],[[3,-4],[4,-5],[5,-6]]]",3,1,5,9,"(-1, 0)",adjacent,adjacent,three-axis,99361eb0e051476254a7805762995422fedd22cb,2,1,9,5,"{""3"":5}",0,0,3,18,0.5,"-3.039e-16,-1.11e-16,1.326,3,3,3,4.346,7","{""opening"":2}"
T_0015,E000000661,proto,3,1,0,"[[0,-1],[1,-1],[1,0]]",[],"[[1,-2],[3,-1]]","[[[-2,-1],[-1,-1],[2,-1]],[[-1,-1],[2,-1],[4,-1]],[[1,-5],[1,-4],[1,-3]],[[1,-4],[1,-3],[1,1]],[[1,-3],[1,1],[1,2]],[[1,1],[1,2],[1,3]],[[2,-1],[4,-1],[5,-1]]]",3,0,7,11,"(-3, 1)",kink,kink_bridge,three-axis,b02a1ba2d4010692fb0379ef5da8afc179b2a652,2,1,11,7,"{""3"":7}",0,0,3,6,0.38095238095238093,"5.218e-16,2.017e-15,1.326,1.697,3,3.209,4.346,5.303","{""opening"":2}"
T_0016,E000000662,proto,3,1,0,"[[0,1],[1,-1],[1,0]]",[],"[[-2,3],[1,-2]]","[[[-4,5],[-3,4],[-1,2]],[[-3,4],[-1,2],[2,-1]],[[-1,2],[2,-1],[3,-2]],[[1,-5],[1,-4],[1,-3]],[[1,-4],[1,-3],[1,1]],[[1,-3],[1,1],[1,2]],[[1,1],[1,2],[1,3]]]",3,0,7,11,"(-5, 2)",kink,kink_bridge,three-axis,283e104fc0331b7bd49d98d9f3621c04e9bb4d12,2,1,11,7,"{""3"":7}",0,0,3,6,0.38095238095238093,"2.716e-16,6.546e-16,1.326,1.697,3,3.209,4.346,5.303","{""opening"":2}"
T_0017,E000000000,proto,3,1,0,"[[-4,-1],[-3,0],[-3,4],[2,-5]]",[],"[[-3,-1],[-2,-1]]","[[[-6,-1],[-5,-1],[-1,-1]],[[-5,-1],[-1,-1],[0,-1]],[[-3,1],[-3,2],[-3,3]],[[-1,-2],[0,-3],[1,-4]],[[-1,-1],[0,-1],[1,-1]]]",4,0,5,11,"(-1, 0)",adjacent,adjacent,three-axis,1ceef6192e9589d842760cea32bda178eb18af85,1,1,11,5,"{""3"":5}",0,0,3,9,0.3,"-1.748e-15,-4.169e-16,5.24e-17,1.697,3,3,3,3","{""random"":1}"
T_0018,E000000001,proto,3,1,0,"[[-3,0],[-3,4],[-1,1]]",[],"[[-3,1],[-2,1]]","[[[-6,1],[-5,1],[-4,1]],[[-5,1],[-4,1],[0,1]],[[-4,1],[0,1],[1,1]],[[-3,-1],[-3,2],[-3,3]],[[-3,2],[-3,3],[-3,5]],[[0,1],[1,1],[2,1]]]",3,0,6,10,"(-1, 0)",adjacent,adjacent,three-axis,a1d31dac3d6fea606a3569e478be1e5f64a3f130,1,1,10,6,"{""3"":6}",0,0,3,12,0.4,"-2.991e-16,5.311e-16,1.326,2,3,4,4.346,6","{""random"":1}"
T_0019,E000000002,proto,3,1,0,"[[-2,2],[0,-2],[0,0]]","[[0,1]]","[[-1,1],[0,-1]]","[[[-5,5],[-4,4],[-3,3]],[[-4,4],[-3,3],[1,-1]],[[-3,3],[1,-1],[2,-2]],[[0,-5],[0,-4],[0,-3]],[[1,-1],[2,-2],[3,-3]]]",3,1,5,9,"(-2, 1)",bridge,bridge_fork,three-axis,1a7ad9968da523375f1061de3b06b389403c6ae4,1,1,9,5,"{""3"":5}",0,0,3,18,0.5,"-1.065e-15,5.265e-16,1.326,3,3,3,4.346,7","{""rail"":1}"
T_0020,E000000003,proto,3,1,0,"[[-3,2],[-2,2],[0,0]]","[[-1,2]]","[[-4,2],[-1,1]]","[[[-7,2],[-6,2],[-5,2]],[[-5,5],[-4,4],[-3,3]],[[-4,4],[-3,3],[1,-1]],[[-3,3],[1,-1],[2,-2]],[[1,-1],[2,-2],[3,-3]]]",3,1,5,9,"(-3, 1)",kink,kink_bridge,three-axis,2b9d55ec3b6a8d3cce96a2df1e7431682d740b3b,1,1,9,5,"{""3"":5}",0,0,3,18,0.5,"-3.039e-16,-1.11e-16,1.326,3,3,3,4.346,7","{""rail"":1}"
