opening_id,radius,effective_depth,effective_candidate_cells,white_pair,best_black_reply,score,nodes,cache_hits,estimated_tree_nodes,naive_leaf_nodes,pruning_mode,final_class,black_tau,white_tau,black_obligations,white_obligations,black_bulk_pressure,white_bulk_pressure,principal_variation,wlu
O0004,3,4,7,"[[-2, 0], [-2, 1]]","[[1, -1], [-1, 1]]",0.0,2331,72,204205,99049307841,beam,black_bulk_edge,0,0,0,0,7.0,0.2,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.0}, {""move"": [[0, -1], [0, 1]], ""player"": ""white"", ""score"": 0.0}, {""move"": [[-1, 0], [1, -2]], ""player"": ""black"", ""score"": 0.0}, {""move"": [[1, 0], [2, -2]], ""player"": ""white"", ""score"": 0.0}]",U
O0003,3,4,7,"[[-1, 0], [1, 0]]","[[1, -1], [0, 1]]",0.0,1619,245,204205,99049307841,beam,screened_or_balanced,0,0,0,0,4.4,0.4,"[{""move"": [[1, -1], [0, 1]], ""player"": ""black"", ""score"": 0.0}, {""move"": [[0, -1], [-1, 1]], ""player"": ""white"", ""score"": 0.0}, {""move"": [[1, -2], [-1, -1]], ""player"": ""black"", ""score"": 0.0}, {""move"": [[2, 0], [2, -1]], ""player"": ""white"", ""score"": 0.0}]",U
O0002,3,4,7,"[[-1, 0], [0, 1]]","[[1, 0], [1, -1]]",0.0,1391,201,204205,99049307841,beam,screened_or_balanced,0,0,0,0,3.2,0.6,"[{""move"": [[1, 0], [1, -1]], ""player"": ""black"", ""score"": 0.0}, {""move"": [[-1, 1], [2, -2]], ""player"": ""white"", ""score"": 0.0}, {""move"": [[-1, -1], [-2, 1]], ""player"": ""black"", ""score"": 0.0}, {""move"": [[0, -1], [1, -2]], ""player"": ""white"", ""score"": 0.0}]",U
O0001,3,4,7,"[[-1, 0], [-1, 1]]","[[0, -1], [0, 1]]",0.0,1610,182,204205,99049307841,beam,black_bulk_edge,0,0,0,0,6.4,1.0,"[{""move"": [[0, -1], [0, 1]], ""player"": ""black"", ""score"": 0.0}, {""move"": [[0, -2], [-1, -1]], ""player"": ""white"", ""score"": 0.0}, {""move"": [[1, 0], [-1, 2]], ""player"": ""black"", ""score"": 0.0}, {""move"": [[1, -1], [2, -1]], ""player"": ""white"", ""score"": 0.0}]",U
