game_id,black_strategy,white_strategy,radius,turns,k,candidate_limit,opening_id,opening_pair,moves,winner,wlu,terminal_ply,black_stones,white_stones,final_class,final_black_tau,final_white_tau,final_black_obligations,final_white_obligations,final_black_pair_atoms,final_white_pair_atoms,final_black_bulk_pressure,final_white_bulk_pressure,first_black_tau_gt2,first_white_tau_gt2,max_black_tau,max_white_tau,tactical_score
G00011,debt_builder,min_family,3,2,6,6,O0002,"[[-1, 0], [0, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [0, 1]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[1, 0], [0, -1]]}, {""color"": ""black"", ""stones"": [[2, -2], [-2, 2]]}, {""color"": ""white"", ""stones"": [[3, -3], [-3, 3]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,2.0,,,2,0,-0.7
G00012,debt_builder,min_family,3,2,6,6,O0003,"[[-1, 0], [1, 0]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [1, 0]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""black"", ""stones"": [[0, -2], [0, 2]]}, {""color"": ""white"", ""stones"": [[0, -3], [0, 3]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,2.0,,,2,0,-0.7
G00013,attacker,screen_counter,3,2,6,6,O0001,"[[-1, 0], [-1, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [-1, 1]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[-1, -1], [-1, 2]]}, {""color"": ""black"", ""stones"": [[0, -2], [0, 2]]}, {""color"": ""white"", ""stones"": [[-1, -2], [-1, 3]]}]",white,W,5,5,6,white_counter_line,2,0,2,0,0,0,50.0,1000.0,,,2,1,12873.5
G00014,attacker,screen_counter,3,2,6,6,O0002,"[[-1, 0], [0, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [0, 1]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[1, 0], [2, -2]]}, {""color"": ""black"", ""stones"": [[0, -1], [2, -1]]}, {""color"": ""white"", ""stones"": [[2, 0], [-1, -1]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,0,0,0.0
G00015,attacker,screen_counter,3,2,6,6,O0003,"[[-1, 0], [1, 0]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [1, 0]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[1, -1], [0, -2]]}, {""color"": ""black"", ""stones"": [[-1, 1], [1, 1]]}, {""color"": ""white"", ""stones"": [[2, 0], [-2, 1]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,0,0,0.0
G00016,attacker,min_tau,3,2,6,6,O0001,"[[-1, 0], [-1, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [-1, 1]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[-1, -1], [-1, 2]]}, {""color"": ""black"", ""stones"": [[0, -2], [0, 2]]}, {""color"": ""white"", ""stones"": [[-1, -2], [-1, 3]]}]",white,W,5,5,6,white_counter_line,2,0,2,0,0,0,50.0,1000.0,,,2,1,12873.5
G00017,attacker,min_tau,3,2,6,6,O0002,"[[-1, 0], [0, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [0, 1]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[1, 0], [0, -1]]}, {""color"": ""black"", ""stones"": [[2, -2], [-2, 2]]}, {""color"": ""white"", ""stones"": [[3, -3], [-3, 3]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,2.0,,,2,0,-0.7
G00018,attacker,min_tau,3,2,6,6,O0003,"[[-1, 0], [1, 0]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [1, 0]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""black"", ""stones"": [[0, -2], [0, 2]]}, {""color"": ""white"", ""stones"": [[0, -3], [0, 3]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,2.0,,,2,0,-0.7
G00019,attacker,min_bulk,3,2,6,6,O0001,"[[-1, 0], [-1, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [-1, 1]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[0, -2], [-1, -1]]}, {""color"": ""black"", ""stones"": [[1, 0], [2, -1]]}, {""color"": ""white"", ""stones"": [[-1, 2], [-1, -2]]}]",none,U,,5,6,undecided_balanced,0,1,0,1,0,0,0.2,25.0,,,0,1,-6611.68
G00020,attacker,min_bulk,3,2,6,6,O0002,"[[-1, 0], [0, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [0, 1]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[1, 0], [2, -2]]}, {""color"": ""black"", ""stones"": [[0, -1], [2, -1]]}, {""color"": ""white"", ""stones"": [[2, 0], [-1, -1]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,0,0,0.0
G00021,attacker,min_bulk,3,2,6,6,O0003,"[[-1, 0], [1, 0]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [1, 0]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[1, -1], [0, -2]]}, {""color"": ""black"", ""stones"": [[-1, 1], [1, 1]]}, {""color"": ""white"", ""stones"": [[2, 0], [-2, 1]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,0,0,0.0
G00022,attacker,min_family,3,2,6,6,O0001,"[[-1, 0], [-1, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [-1, 1]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[0, -2], [-1, -1]]}, {""color"": ""black"", ""stones"": [[1, 0], [2, -1]]}, {""color"": ""white"", ""stones"": [[1, -1], [-1, 2]]}]",none,U,,5,6,undecided_balanced,0,1,0,1,0,0,0.0,8.0,,,0,1,-6605.8
G00023,attacker,min_family,3,2,6,6,O0002,"[[-1, 0], [0, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [0, 1]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[1, 0], [0, -1]]}, {""color"": ""black"", ""stones"": [[2, -2], [-2, 2]]}, {""color"": ""white"", ""stones"": [[3, -3], [-3, 3]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,2.0,,,2,0,-0.7
G00024,attacker,min_family,3,2,6,6,O0003,"[[-1, 0], [1, 0]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [1, 0]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""black"", ""stones"": [[0, -2], [0, 2]]}, {""color"": ""white"", ""stones"": [[0, -3], [0, 3]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,2.0,,,2,0,-0.7
G00025,hybrid,screen_counter,3,2,6,6,O0001,"[[-1, 0], [-1, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [-1, 1]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[-1, -1], [-1, 2]]}, {""color"": ""black"", ""stones"": [[0, -2], [-1, -2]]}, {""color"": ""white"", ""stones"": [[1, 0], [0, 2]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,0.2,,,1,1,-0.07
G00026,hybrid,screen_counter,3,2,6,6,O0002,"[[-1, 0], [0, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [0, 1]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[1, 0], [2, -2]]}, {""color"": ""black"", ""stones"": [[0, -1], [2, -1]]}, {""color"": ""white"", ""stones"": [[2, 0], [-1, -1]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,0,0,0.0
G00027,hybrid,screen_counter,3,2,6,6,O0003,"[[-1, 0], [1, 0]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [1, 0]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[1, -1], [0, -2]]}, {""color"": ""black"", ""stones"": [[-1, 1], [1, 1]]}, {""color"": ""white"", ""stones"": [[2, 0], [-2, 1]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,0,0,0.0
G00028,hybrid,min_tau,3,2,6,6,O0001,"[[-1, 0], [-1, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [-1, 1]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[-1, -1], [-1, 2]]}, {""color"": ""black"", ""stones"": [[0, -2], [-1, -2]]}, {""color"": ""white"", ""stones"": [[1, 0], [0, 2]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,0.2,,,1,1,-0.07
G00029,hybrid,min_tau,3,2,6,6,O0002,"[[-1, 0], [0, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [0, 1]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[1, 0], [0, -1]]}, {""color"": ""black"", ""stones"": [[2, -2], [-2, 2]]}, {""color"": ""white"", ""stones"": [[3, -3], [-3, 3]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,2.0,,,2,0,-0.7
G00030,hybrid,min_tau,3,2,6,6,O0003,"[[-1, 0], [1, 0]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [1, 0]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""black"", ""stones"": [[0, -2], [0, 2]]}, {""color"": ""white"", ""stones"": [[0, -3], [0, 3]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,2.0,,,2,0,-0.7
G00031,hybrid,min_bulk,3,2,6,6,O0001,"[[-1, 0], [-1, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [-1, 1]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[0, -2], [-1, -1]]}, {""color"": ""black"", ""stones"": [[1, 0], [-1, 2]]}, {""color"": ""white"", ""stones"": [[1, -1], [2, -1]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,0,0,0.0
G00032,hybrid,min_bulk,3,2,6,6,O0002,"[[-1, 0], [0, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [0, 1]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[1, 0], [2, -2]]}, {""color"": ""black"", ""stones"": [[0, -1], [2, -1]]}, {""color"": ""white"", ""stones"": [[2, 0], [-1, -1]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,0,0,0.0
G00033,hybrid,min_bulk,3,2,6,6,O0003,"[[-1, 0], [1, 0]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [1, 0]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[1, -1], [0, -2]]}, {""color"": ""black"", ""stones"": [[-1, 1], [1, 1]]}, {""color"": ""white"", ""stones"": [[2, 0], [-2, 1]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,0,0,0.0
G00034,hybrid,min_family,3,2,6,6,O0001,"[[-1, 0], [-1, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [-1, 1]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[0, -2], [-1, -1]]}, {""color"": ""black"", ""stones"": [[1, 0], [-1, 2]]}, {""color"": ""white"", ""stones"": [[1, -1], [2, -1]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,0,0,0.0
G00035,hybrid,min_family,3,2,6,6,O0002,"[[-1, 0], [0, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [0, 1]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[1, 0], [0, -1]]}, {""color"": ""black"", ""stones"": [[2, -2], [-2, 2]]}, {""color"": ""white"", ""stones"": [[3, -3], [-3, 3]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,2.0,,,2,0,-0.7
G00036,hybrid,min_family,3,2,6,6,O0003,"[[-1, 0], [1, 0]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [1, 0]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""black"", ""stones"": [[0, -2], [0, 2]]}, {""color"": ""white"", ""stones"": [[0, -3], [0, 3]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,2.0,,,2,0,-0.7
G00037,min_bulk,screen_counter,3,2,6,6,O0001,"[[-1, 0], [-1, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [-1, 1]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[-1, -1], [-1, 2]]}, {""color"": ""black"", ""stones"": [[0, -2], [-1, -2]]}, {""color"": ""white"", ""stones"": [[1, 0], [0, 2]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,0.2,,,1,1,-0.07
G00038,min_bulk,screen_counter,3,2,6,6,O0002,"[[-1, 0], [0, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [0, 1]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[1, 0], [2, -2]]}, {""color"": ""black"", ""stones"": [[0, -1], [2, -1]]}, {""color"": ""white"", ""stones"": [[2, 0], [-1, -1]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,0,0,0.0
G00039,min_bulk,screen_counter,3,2,6,6,O0003,"[[-1, 0], [1, 0]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [1, 0]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[0, -1], [2, -2]]}, {""color"": ""black"", ""stones"": [[0, 1], [-2, 1]]}, {""color"": ""white"", ""stones"": [[2, 0], [1, 1]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,0,0,0.0
G00040,min_bulk,min_tau,3,2,6,6,O0001,"[[-1, 0], [-1, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [-1, 1]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[-1, -1], [-1, 2]]}, {""color"": ""black"", ""stones"": [[0, -2], [-1, -2]]}, {""color"": ""white"", ""stones"": [[1, 0], [0, 2]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,0.2,,,1,1,-0.07
G00041,min_bulk,min_tau,3,2,6,6,O0002,"[[-1, 0], [0, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [0, 1]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[1, 0], [0, -1]]}, {""color"": ""black"", ""stones"": [[2, -2], [-2, 2]]}, {""color"": ""white"", ""stones"": [[3, -3], [-3, 3]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,2.0,,,2,0,-0.7
G00042,min_bulk,min_tau,3,2,6,6,O0003,"[[-1, 0], [1, 0]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [1, 0]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""black"", ""stones"": [[2, -2], [-2, 2]]}, {""color"": ""white"", ""stones"": [[3, -3], [-3, 3]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,2.0,,,2,0,-0.7
G00043,min_bulk,min_bulk,3,2,6,6,O0001,"[[-1, 0], [-1, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [-1, 1]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[0, -2], [-1, -1]]}, {""color"": ""black"", ""stones"": [[1, 0], [-1, 2]]}, {""color"": ""white"", ""stones"": [[1, -1], [2, -1]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,0,0,0.0
G00044,min_bulk,min_bulk,3,2,6,6,O0002,"[[-1, 0], [0, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [0, 1]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[1, 0], [2, -2]]}, {""color"": ""black"", ""stones"": [[0, -1], [2, -1]]}, {""color"": ""white"", ""stones"": [[2, 0], [-1, -1]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,0,0,0.0
G00045,min_bulk,min_bulk,3,2,6,6,O0003,"[[-1, 0], [1, 0]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [1, 0]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[0, -1], [2, -2]]}, {""color"": ""black"", ""stones"": [[0, 1], [-2, 1]]}, {""color"": ""white"", ""stones"": [[2, 0], [1, 1]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,0,0,0.0
G00046,min_bulk,min_family,3,2,6,6,O0001,"[[-1, 0], [-1, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [-1, 1]]}, {""color"": ""black"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""white"", ""stones"": [[0, -2], [-1, -1]]}, {""color"": ""black"", ""stones"": [[1, 0], [-1, 2]]}, {""color"": ""white"", ""stones"": [[1, -1], [2, -1]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,0.0,,,0,0,0.0
G00047,min_bulk,min_family,3,2,6,6,O0002,"[[-1, 0], [0, 1]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [0, 1]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[1, 0], [0, -1]]}, {""color"": ""black"", ""stones"": [[2, -2], [-2, 2]]}, {""color"": ""white"", ""stones"": [[3, -3], [-3, 3]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,2.0,,,2,0,-0.7
G00048,min_bulk,min_family,3,2,6,6,O0003,"[[-1, 0], [1, 0]]","[{""color"": ""black"", ""stones"": [[0, 0]]}, {""color"": ""white"", ""stones"": [[-1, 0], [1, 0]]}, {""color"": ""black"", ""stones"": [[1, -1], [-1, 1]]}, {""color"": ""white"", ""stones"": [[0, -1], [0, 1]]}, {""color"": ""black"", ""stones"": [[2, -2], [-2, 2]]}, {""color"": ""white"", ""stones"": [[3, -3], [-3, 3]]}]",none,U,,5,6,undecided_balanced,0,0,0,0,0,0,0.0,2.0,,,2,0,-0.7
