black_strategy,white_strategy,winner,terminal_turn,completed_turns,black_stones,white_stones,final_black_tau,final_white_tau,final_black_obligations,final_white_obligations,final_black_pair_atoms,final_white_pair_atoms,final_black_bulk_pressure,final_white_bulk_pressure,final_black_family_max,final_white_family_max,first_black_tau_gt2,first_white_tau_gt2,max_black_obligations,max_white_obligations,max_black_pair_atoms,max_white_pair_atoms
attacker,min_tau,white,2,3,5,6,2,1,3,1,0,0,35.6,1027.8,3,1,,,3,1,0,0
attacker,hybrid,white,2,3,5,6,2,1,3,1,0,0,35.6,1027.8,3,1,,,3,1,0,0
min_bulk,min_tau,none,,8,17,16,2,0,3,0,0,0,59.6,2.2,3,0,,,3,0,0,0
min_bulk,hybrid,none,,8,17,16,0,0,0,0,0,0,6.4,0.6,0,0,,,1,0,0,0
