run,radius,requested_turns,completed_records,k,attack_min_weight,black_stones,white_stones,black_first_terms,white_first_terms,final_black_tau,final_white_tau,final_black_obligations,final_white_obligations,black_sector_counts,white_sector_counts
r8_t18_k6_w1,8,18,16,6,1,29,31,"[0, 17, 19, 28, 31, 34, 49, 53, 71, 76, 78, 100, 103, 109, 111, 112, 124, 138, 141, 143, 146, 165, 169, 185, 186, 194, 195, 196, 197]","[8, 10, 12, 14, 23, 24, 40, 43, 62, 65, 85, 90, 92, 93, 95, 96, 119, 120, 129, 130, 132, 153, 154, 160, 177, 178, 179, 192, 202, 210, 211]",4,2,6,4,"[6, 2, 7, 11, 2, 0]","[3, 5, 3, 2, 7, 11]"
r8_t18_k6_w3,8,18,18,6,3,35,36,"[0, 17, 19, 28, 31, 33, 34, 35, 49, 53, 54, 56, 57, 58, 74, 76, 78, 79, 81, 82, 83, 84, 85, 86, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116]","[8, 10, 12, 14, 23, 24, 39, 40, 41, 42, 43, 44, 45, 62, 64, 65, 66, 67, 68, 69, 70, 90, 92, 93, 95, 96, 97, 98, 99, 100, 101, 102, 126, 127, 128, 129]",4,4,33,44,"[7, 12, 7, 8, 0, 0]","[3, 0, 1, 2, 18, 12]"
r8_t18_k6_w5,8,18,18,6,5,35,36,"[0, 4, 5, 13, 14, 15, 27, 28, 29, 30, 31, 32, 47, 48, 49, 50, 51, 52, 53, 54, 55, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83]","[7, 8, 9, 10, 11, 17, 18, 19, 20, 21, 22, 23, 24, 25, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68]",4,4,44,49,"[0, 10, 10, 13, 1, 0]","[13, 0, 0, 2, 11, 10]"
