rank,pair_shape,frequency
1,"(-3, 1)",103
2,"(-1, 0)",82
3,"(-2, 0)",68
4,"(-4, 1)",62
5,"(-2, 1)",59
6,"(-3, 0)",55
7,"(-5, 2)",54
8,"(-5, 1)",43
9,"(-4, 2)",38
10,"(-4, 0)",34
11,"(-6, 1)",23
12,"(-6, 2)",23
13,"(-6, 3)",17
14,"(-5, 0)",13
15,"(-6, 0)",6
16,"(-7, 3)",6
17,"(-7, 2)",6
18,"(-7, 1)",6
19,"(-7, 0)",2
