opening_id,radius,white_pair,best_black_reply,score,nodes,cache_hits,final_class,black_tau,white_tau,black_obligations,white_obligations,black_bulk_pressure,white_bulk_pressure,principal_variation
O0030,3,"[[-3, 0], [-1, 3]]","[[1, -1], [-1, 1]]",0.14,264,0,black_bulk_edge,0,0,0,0,7.2,0.0,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[0, -1], [2, -2]], ""player"": ""white"", ""score"": 0.14}]"
O0031,3,"[[-3, 0], [0, 1]]","[[1, 0], [-1, 1]]",-0.14,240,5,screened_or_balanced,0,0,0,0,3.4,0.0,"[{""move"": [[1, 0], [-1, 1]], ""player"": ""black"", ""score"": -0.13999999999999999}, {""move"": [[1, -1], [-1, 0]], ""player"": ""white"", ""score"": -0.13999999999999999}]"
O0032,3,"[[-3, 0], [0, 2]]","[[1, 0], [-1, 0]]",0.14,195,2,screened_or_balanced,0,0,0,0,4.2,0.0,"[{""move"": [[1, 0], [-1, 0]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[1, -1], [2, 0]], ""player"": ""white"", ""score"": 0.14}]"
O0033,3,"[[-3, 0], [0, 3]]","[[1, 0], [-1, 0]]",0.21,216,38,screened_or_balanced,0,0,0,0,4.4,0.0,"[{""move"": [[1, 0], [-1, 0]], ""player"": ""black"", ""score"": 0.21000000000000002}, {""move"": [[1, -1], [2, 0]], ""player"": ""white"", ""score"": 0.21000000000000002}]"
O0034,3,"[[-3, 0], [1, 0]]","[[1, -1], [0, 1]]",-0.14,235,32,screened_or_balanced,0,0,0,0,4.4,0.0,"[{""move"": [[1, -1], [0, 1]], ""player"": ""black"", ""score"": -0.13999999999999999}, {""move"": [[0, -1], [-1, 1]], ""player"": ""white"", ""score"": -0.13999999999999999}]"
O0035,3,"[[-3, 0], [1, 1]]","[[1, 0], [-1, 1]]",0.07,246,0,screened_or_balanced,0,0,0,0,3.8,0.0,"[{""move"": [[1, 0], [-1, 1]], ""player"": ""black"", ""score"": 0.07000000000000002}, {""move"": [[1, -1], [-1, 0]], ""player"": ""white"", ""score"": 0.07000000000000002}]"
O0036,3,"[[-3, 0], [1, 2]]","[[1, -1], [-1, 1]]",0.14,298,0,black_bulk_edge,0,0,0,0,7.2,0.0,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[0, -1], [2, -2]], ""player"": ""white"", ""score"": 0.14}]"
O0037,3,"[[-3, 0], [2, 0]]","[[1, -1], [-1, 1]]",0.14,199,12,black_bulk_edge,0,0,0,0,7.2,0.0,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[0, -1], [2, -2]], ""player"": ""white"", ""score"": 0.14}]"
O0038,3,"[[-3, 0], [2, 1]]","[[1, -1], [-1, 1]]",0.14,222,0,black_bulk_edge,0,0,0,0,7.2,0.0,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[0, -1], [2, -2]], ""player"": ""white"", ""score"": 0.14}]"
O0039,3,"[[-3, 0], [3, 0]]","[[1, -1], [-1, 1]]",0.14,165,58,black_bulk_edge,0,0,0,0,7.2,0.0,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[0, -1], [2, -2]], ""player"": ""white"", ""score"": 0.14}]"
O0040,3,"[[-3, 1], [-3, 2]]","[[0, -1], [0, 1]]",0.14,323,52,black_bulk_edge,0,0,0,0,7.2,0.0,"[{""move"": [[0, -1], [0, 1]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[1, 0], [0, -2]], ""player"": ""white"", ""score"": 0.14}]"
O0041,3,"[[-3, 1], [-2, -1]]","[[1, -1], [-1, 1]]",0.14,270,20,black_bulk_edge,0,0,0,0,7.2,0.0,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[1, 0], [2, -2]], ""player"": ""white"", ""score"": 0.14}]"
O0042,3,"[[-3, 1], [-2, 0]]","[[1, -1], [1, 1]]",0.07,259,0,screened_or_balanced,0,0,0,0,3.6,0.0,"[{""move"": [[1, -1], [1, 1]], ""player"": ""black"", ""score"": 0.07000000000000002}, {""move"": [[1, 0], [-1, 1]], ""player"": ""white"", ""score"": 0.07000000000000002}]"
