template_id,source_event_id,kind,tau,pressure,terminal,attacker_stones,defender_stones,move_stones,obligation_edges,num_attacker_stones,num_defender_stones,num_obligations,num_obligation_vertices,pair_shape,shape_kind,family,line_axis_support,canonical_signature,frequency,automorphism_group_size,number_of_vertices,number_of_edges,edge_size_histogram,singleton_count,pair_edge_count,transversal_number_tau,number_of_minimum_transversals,intersection_graph_density,laplacian_spectrum,source_counts,source_span,source_entropy,generality_index,channel_label,integer_fingerprint,abstract_incidence_signature,abstract_signature_exact,incidence_cell_count,incidence_edge_count,cell_color_histogram,d6_stabilizer_order,d6_orbit_size,burnside_fixed_fraction,a2_support_signature,a2_coxeter_diameter
T_0265,E000000268,proto,5,3,0,"[[-2,1],[-2,4],[-1,1],[-1,4],[1,-1],[2,-2]]",[],"[[-3,1],[0,4]]","[[[-6,1],[-5,1],[-4,1]],[[-5,4],[-4,4],[-3,4]],[[0,0],[3,-3],[4,-4]],[[0,1],[1,1],[2,1]],[[1,4],[2,4],[3,4]]]",6,0,5,15,"(-6, 3)",kink,kink_bridge,three-axis,0976f0ed5e6a75bfc07e6a04ae9bbc8e3d84287f,1,1,15,5,"{""3"":5}",0,0,5,243,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-2.249e-17,4.666e-16,3,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(5, 3, 5, 15, 0, 0, 5, 1)",8894b30639e3f17b989d0d8bb004795e4881a859,0,23,5,"{""A"":6,""M"":2,""O"":15}",1,12,0.08333333333333333,"(12, 10, 8)",12
T_0273,E000000276,proto,5,3,0,"[[-2,2],[-2,3],[-2,4],[-1,1],[-1,4]]",[],"[[-3,4],[-1,3]]","[[[-6,4],[-5,4],[-4,4]],[[-2,-1],[-2,0],[-2,1]],[[-2,5],[-2,6],[-2,7]],[[-1,2],[-1,5],[-1,6]],[[0,4],[1,4],[2,4]]]",5,0,5,15,"(-2, 1)",bridge,bridge_fork,three-axis,3acbf1cec4e31cd3ebc6c654d8faaf0dea5b3ef8,1,1,15,5,"{""3"":5}",0,0,5,243,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(5, 3, 5, 15, 0, 0, 5, 1)",9772809d07e39c1e09412b6030b5c7cbebfd0d43,0,22,5,"{""A"":5,""M"":2,""O"":15}",1,12,0.08333333333333333,"(9, 8, 8)",9
T_0274,E000000277,proto,5,3,0,"[[-2,2],[-2,3],[-2,4],[-1,1],[-1,4]]",[],"[[-1,2],[0,4]]","[[[-5,4],[-4,4],[-3,4]],[[-2,-1],[-2,0],[-2,1]],[[-2,5],[-2,6],[-2,7]],[[-1,3],[-1,5],[-1,6]],[[1,4],[2,4],[3,4]]]",5,0,5,15,"(-3, 1)",kink,kink_bridge,three-axis,1b02b9f18d945aecd14cf1dda1093af235c232fd,1,1,15,5,"{""3"":5}",0,0,5,243,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(5, 3, 5, 15, 0, 0, 5, 1)",9772809d07e39c1e09412b6030b5c7cbebfd0d43,0,22,5,"{""A"":5,""M"":2,""O"":15}",1,12,0.08333333333333333,"(10, 8, 8)",10
T_0277,E000000280,proto,5,3,0,"[[-2,2],[-2,3],[-2,4],[-1,1],[2,-2]]",[],"[[-3,2],[-1,2]]","[[[-6,2],[-5,2],[-4,2]],[[-2,-1],[-2,0],[-2,1]],[[-2,5],[-2,6],[-2,7]],[[0,0],[1,-1],[3,-3]],[[0,2],[1,2],[2,2]]]",5,0,5,15,"(-2, 0)",rail,rail_ladder,three-axis,684e39235370e66203e7bd016a1b8371785f09ae,1,1,15,5,"{""3"":5}",0,0,5,243,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,5.551e-17,3,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(5, 3, 5, 15, 0, 0, 5, 1)",5cc69efe08fa943e58b8ea2fc83d4c8885eaf874,0,22,5,"{""A"":5,""M"":2,""O"":15}",1,12,0.08333333333333333,"(10, 9, 9)",10
T_0284,E000000287,proto,5,3,0,"[[-2,2],[-2,3],[-2,4],[-1,1],[-1,4]]",[],"[[-1,3],[0,4]]","[[[-5,4],[-4,4],[-3,4]],[[-2,-1],[-2,0],[-2,1]],[[-2,5],[-2,6],[-2,7]],[[-1,2],[-1,5],[-1,6]],[[1,4],[2,4],[3,4]]]",5,0,5,15,"(-2, 1)",bridge,bridge_fork,three-axis,403346cfe7436b0431cce0b58f519904a9acd918,1,1,15,5,"{""3"":5}",0,0,5,243,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(5, 3, 5, 15, 0, 0, 5, 1)",9772809d07e39c1e09412b6030b5c7cbebfd0d43,0,22,5,"{""A"":5,""M"":2,""O"":15}",1,12,0.08333333333333333,"(10, 8, 8)",10
T_0010,E000000006,proto,4,2,0,"[[-2,2],[-1,1],[-1,2]]","[[2,-2]]","[[-3,2],[-1,0]]","[[[-6,2],[-5,2],[-4,2]],[[-1,-3],[-1,-2],[-1,-1]],[[-1,3],[-1,4],[-1,5]],[[0,2],[1,2],[2,2]]]",3,1,4,12,"(-2, 0)",rail,rail_ladder,three-axis,ed1aa8e5f8f3a6e303b5e8b58230190529532431,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3","{""opening"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",e5b5a807c79a4ba25580d122a4bf86c296415a98,0,18,4,"{""A"":3,""D"":1,""M"":2,""O"":12}",1,12,0.08333333333333333,"(8, 8, 8)",8
T_0012,E000000008,proto,4,2,0,"[[-1,1],[-1,2],[0,-1]]",[],"[[-2,1],[-1,0]]","[[[-5,4],[-4,3],[-3,2]],[[-1,-3],[-1,-2],[-1,-1]],[[-1,3],[-1,4],[-1,5]],[[1,-2],[2,-3],[3,-4]]]",3,0,4,12,"(-1, 0)",adjacent,adjacent,three-axis,df1aa4fedae58a6734ce3a6fb4217aab637c5349,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3","{""opening"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",7988105812983a96d6d2d8938b058704d0cb1482,0,17,4,"{""A"":3,""M"":2,""O"":12}",1,12,0.08333333333333333,"(9, 8, 8)",9
T_0015,E000000011,proto,4,2,0,"[[-1,1],[-1,2],[0,0]]","[[1,-1]]","[[-1,0],[1,0]]","[[[-4,0],[-3,0],[-2,0]],[[-1,-3],[-1,-2],[-1,-1]],[[-1,3],[-1,4],[-1,5]],[[2,0],[3,0],[4,0]]]",3,1,4,12,"(-2, 0)",rail,rail_ladder,three-axis,1789734f7563836a3f84667dcb0af3fbacf09305,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3","{""opening"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",e5b5a807c79a4ba25580d122a4bf86c296415a98,0,18,4,"{""A"":3,""D"":1,""M"":2,""O"":12}",1,12,0.08333333333333333,"(8, 8, 8)",8
T_0016,E000000012,proto,4,2,0,"[[-1,1],[-1,2],[0,-1]]",[],"[[-1,0],[1,-2]]","[[[-4,3],[-3,2],[-2,1]],[[-1,-3],[-1,-2],[-1,-1]],[[-1,3],[-1,4],[-1,5]],[[2,-3],[3,-4],[4,-5]]]",3,0,4,12,"(-2, 0)",rail,rail_ladder,three-axis,d9b9ac925219c62b005fa391332fb1333bd3ef7c,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3","{""opening"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",7988105812983a96d6d2d8938b058704d0cb1482,0,17,4,"{""A"":3,""M"":2,""O"":12}",1,12,0.08333333333333333,"(10, 8, 8)",10
T_0018,E000000014,proto,4,2,0,"[[-1,1],[-1,2],[0,0]]","[[1,-1]]","[[-2,0],[-1,0]]","[[[-5,0],[-4,0],[-3,0]],[[-1,-3],[-1,-2],[-1,-1]],[[-1,3],[-1,4],[-1,5]],[[1,0],[2,0],[3,0]]]",3,1,4,12,"(-1, 0)",adjacent,adjacent,three-axis,38bfbb414b5e0abf56930743cb5f93b0da16c386,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3","{""opening"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",e5b5a807c79a4ba25580d122a4bf86c296415a98,0,18,4,"{""A"":3,""D"":1,""M"":2,""O"":12}",1,12,0.08333333333333333,"(9, 8, 8)",9
