template_id,source_event_id,kind,tau,pressure,terminal,attacker_stones,defender_stones,move_stones,obligation_edges,num_attacker_stones,num_defender_stones,num_obligations,num_obligation_vertices,pair_shape,shape_kind,family,line_axis_support,canonical_signature,frequency,automorphism_group_size,number_of_vertices,number_of_edges,edge_size_histogram,singleton_count,pair_edge_count,transversal_number_tau,number_of_minimum_transversals,intersection_graph_density,laplacian_spectrum,source_counts,source_span,source_entropy,generality_index,channel_label,integer_fingerprint,abstract_incidence_signature,abstract_signature_exact,incidence_cell_count,incidence_edge_count,cell_color_histogram,d6_stabilizer_order,d6_orbit_size,burnside_fixed_fraction,a2_support_signature,a2_coxeter_diameter
T_0103,E000000104,proto,4,2,0,"[[-1,2],[0,0],[0,1],[3,1],[3,2]]",[],"[[0,2],[2,1]]","[[[0,-3],[0,-2],[0,-1]],[[0,3],[0,4],[0,5]],[[1,1],[4,1],[5,1]],[[1,2],[2,2],[4,2]]]",5,0,4,12,"(-2, 1)",bridge,bridge_fork,three-axis,377c6e71e79c886a99223e10d3683fdde160de62,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,1.11e-16,3,3,3,3","{""rail"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",66f9cbeaa835a63f3bf3e651d7deddc4042ff5a1,0,19,4,"{""A"":5,""M"":2,""O"":12}",1,12,0.08333333333333333,"(9, 8, 6)",9
T_0113,E000000114,proto,4,2,0,"[[-1,2],[0,0],[0,1],[1,1],[3,1]]",[],"[[-2,3],[0,-3]]","[[[-5,6],[-4,5],[-3,4]],[[0,-2],[0,-1],[0,2]],[[1,0],[2,-1],[3,-2]],[[2,1],[4,1],[5,1]]]",5,0,4,12,"(-6, 2)",kink,kink_bridge,three-axis,1f882028ba2817cdd923c276300af751d7b67090,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3","{""rail"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",8bc1c4a5610d736320e88373734b67345dd23629,0,19,4,"{""A"":5,""M"":2,""O"":12}",1,12,0.08333333333333333,"(10, 9, 9)",10
T_0116,E000000117,proto,4,2,0,"[[0,-1],[0,1],[1,-2],[1,1],[3,1]]",[],"[[0,-3],[2,-3]]","[[[-3,2],[-2,1],[-1,0]],[[0,-2],[0,0],[0,2]],[[2,1],[4,1],[5,1]],[[3,-4],[4,-5],[5,-6]]]",5,0,4,12,"(-2, 0)",rail,rail_ladder,three-axis,60d20bc1d9608594c951703f576e84f2858b84b1,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,1.11e-16,3,3,3,3","{""rail"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",66f9cbeaa835a63f3bf3e651d7deddc4042ff5a1,0,19,4,"{""A"":5,""M"":2,""O"":12}",1,12,0.08333333333333333,"(9, 8, 8)",9
T_0129,E000000130,proto,4,2,0,"[[0,0],[0,1],[1,1],[3,1],[3,2]]",[],"[[0,2],[2,2]]","[[[0,-3],[0,-2],[0,-1]],[[0,3],[0,4],[0,5]],[[1,2],[4,2],[5,2]],[[2,1],[4,1],[5,1]]]",5,0,4,12,"(-2, 0)",rail,rail_ladder,three-axis,3416c26d9ccac6750e9c3478d32b54508647836f,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,1.11e-16,3,3,3,3","{""rail"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",66f9cbeaa835a63f3bf3e651d7deddc4042ff5a1,0,19,4,"{""A"":5,""M"":2,""O"":12}",1,12,0.08333333333333333,"(10, 8, 5)",10
T_0130,E000000131,proto,4,2,0,"[[0,0],[0,1],[0,5],[1,1],[3,1],[3,2]]",[],"[[0,-3],[3,0]]","[[[0,-4],[0,-2],[0,-1]],[[0,2],[0,3],[0,4]],[[2,1],[4,1],[5,1]],[[3,-1],[3,3],[3,4]]]",6,0,4,12,"(-6, 3)",kink,kink_bridge,three-axis,6fb50dcbebf209bd8bd3e4ad7f897b73d0a18479,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,1.11e-16,3,3,3,3","{""rail"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",bc50c383c4db443566561932b33a921714f70c60,0,20,4,"{""A"":6,""M"":2,""O"":12}",1,12,0.08333333333333333,"(11, 9, 5)",11
T_0132,E000000133,proto,4,2,0,"[[-1,2],[0,-1],[0,0],[0,1]]",[],"[[-2,3],[2,1]]","[[[-5,6],[-4,5],[-3,4]],[[0,-4],[0,-3],[0,-2]],[[0,2],[0,3],[0,4]],[[1,0],[2,-1],[3,-2]]]",4,0,4,12,"(-4, 2)",kink,kink_bridge,three-axis,0cf63acbad0bf407be17a83b89c3d886775b3796,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3","{""rail"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",630a9ff133558fd9ffb066674c61553ada1d50d9,0,18,4,"{""A"":4,""M"":2,""O"":12}",1,12,0.08333333333333333,"(10, 8, 8)",10
T_0138,E000000139,proto,4,2,0,"[[-1,2],[0,0],[0,1],[1,1],[3,1],[3,2]]",[],"[[0,2],[0,4]]","[[[0,3],[0,5]],[[0,-3],[0,-2],[0,-1]],[[1,2],[2,2],[4,2]],[[2,1],[4,1],[5,1]]]",6,0,4,11,"(-2, 0)",rail,rail_ladder,three-axis,d771403a38abd2d7b1d865fba5a3e5435be2e805,1,1,11,4,"{""2"":1,""3"":3}",0,1,4,54,0.0,"-1.11e-16,-1.11e-16,0,1.665e-16,2,3,3,3","{""rail"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 11, 0, 1, 3, 1)",b5db70fbe2a0a3e6c1564d6d5a3e18701a9b766a,0,19,4,"{""A"":6,""M"":2,""O"":11}",1,12,0.08333333333333333,"(9, 8, 6)",9
T_0142,E000000143,proto,4,2,0,"[[-1,2],[0,0],[0,1],[1,1],[3,1],[3,2]]",[],"[[-4,3],[0,2]]","[[[0,-3],[0,-2],[0,-1]],[[0,3],[0,4],[0,5]],[[1,2],[2,2],[4,2]],[[2,1],[4,1],[5,1]]]",6,0,4,12,"(-4, 1)",kink,kink_bridge,three-axis,5342b3da597dda73987621b8d5d0a20099fe2dd3,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,1.665e-16,3,3,3,3","{""rail"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",a60ee3f082cc374b9b52bfe01605aaceedbe50f2,0,20,4,"{""A"":6,""M"":2,""O"":12}",1,12,0.08333333333333333,"(9, 9, 8)",9
T_0143,E000000144,proto,4,2,0,"[[-1,2],[0,0],[0,1],[1,1],[3,1],[3,2]]",[],"[[0,2],[4,0]]","[[[0,-3],[0,-2],[0,-1]],[[0,3],[0,4],[0,5]],[[1,2],[2,2],[4,2]],[[2,1],[4,1],[5,1]]]",6,0,4,12,"(-4, 2)",kink,kink_bridge,three-axis,f0577ea2e124e9238d94d426104760a709fef747,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,1.665e-16,3,3,3,3","{""rail"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",a60ee3f082cc374b9b52bfe01605aaceedbe50f2,0,20,4,"{""A"":6,""M"":2,""O"":12}",1,12,0.08333333333333333,"(9, 8, 6)",9
T_0144,E000000145,proto,4,2,0,"[[-1,2],[0,0],[0,1],[1,1],[3,1],[3,2]]",[],"[[-4,4],[0,2]]","[[[0,-3],[0,-2],[0,-1]],[[0,3],[0,4],[0,5]],[[1,2],[2,2],[4,2]],[[2,1],[4,1],[5,1]]]",6,0,4,12,"(-4, 2)",kink,kink_bridge,three-axis,932d9dddd6e6874afebdcc6b63b78e5aaf147324,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,1.665e-16,3,3,3,3","{""rail"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",a60ee3f082cc374b9b52bfe01605aaceedbe50f2,0,20,4,"{""A"":6,""M"":2,""O"":12}",1,12,0.08333333333333333,"(9, 9, 8)",9
T_0146,E000000147,proto,4,2,0,"[[0,0],[0,1],[1,1],[3,1],[3,2]]",[],"[[-2,1],[0,2]]","[[[-4,1],[-3,1],[-1,1]],[[0,-3],[0,-2],[0,-1]],[[0,3],[0,4],[0,5]],[[2,1],[4,1],[5,1]]]",5,0,4,12,"(-3, 1)",kink,kink_bridge,three-axis,11b3d64be8005c95807517de8eedbefe5a68fd95,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3","{""rail"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",24d3d8fcd19e64699d82b89ae1e7e1103391bee7,0,19,4,"{""A"":5,""M"":2,""O"":12}",1,12,0.08333333333333333,"(9, 9, 8)",9
T_0148,E000000149,proto,4,2,0,"[[0,-1],[0,0],[0,1],[1,-2]]",[],"[[2,-3],[2,1]]","[[[-3,2],[-2,1],[-1,0]],[[0,-4],[0,-3],[0,-2]],[[0,2],[0,3],[0,4]],[[3,-4],[4,-5],[5,-6]]]",4,0,4,12,"(-4, 0)",rail,rail_ladder,three-axis,5e6b11357894f548bbf51d1385441e92604f0ad0,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3","{""rail"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",630a9ff133558fd9ffb066674c61553ada1d50d9,0,18,4,"{""A"":4,""M"":2,""O"":12}",1,12,0.08333333333333333,"(10, 8, 8)",10
T_0149,E000000150,proto,4,2,0,"[[0,0],[0,1],[1,1],[3,1],[3,2]]",[],"[[-3,1],[0,2]]","[[[-4,1],[-2,1],[-1,1]],[[0,-3],[0,-2],[0,-1]],[[0,3],[0,4],[0,5]],[[2,1],[4,1],[5,1]]]",5,0,4,12,"(-4, 1)",kink,kink_bridge,three-axis,b6f5eb03765ea56a190193be60604e84d15ef7d3,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3","{""rail"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",24d3d8fcd19e64699d82b89ae1e7e1103391bee7,0,19,4,"{""A"":5,""M"":2,""O"":12}",1,12,0.08333333333333333,"(9, 9, 8)",9
T_0154,E000000155,proto,4,2,0,"[[0,0],[0,1],[1,1],[3,1],[3,2]]",[],"[[-4,1],[0,2]]","[[[-3,1],[-2,1],[-1,1]],[[0,-3],[0,-2],[0,-1]],[[0,3],[0,4],[0,5]],[[2,1],[4,1],[5,1]]]",5,0,4,12,"(-5, 1)",kink,kink_bridge,three-axis,4a38767d74ba4d51d674bee487cfbf32c12d7dfd,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3","{""rail"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",24d3d8fcd19e64699d82b89ae1e7e1103391bee7,0,19,4,"{""A"":5,""M"":2,""O"":12}",1,12,0.08333333333333333,"(9, 9, 8)",9
T_0155,E000000156,proto,4,2,0,"[[-1,2],[0,0],[0,1],[3,1],[3,2]]",[],"[[0,2],[4,-3]]","[[[0,-3],[0,-2],[0,-1]],[[0,3],[0,4],[0,5]],[[1,0],[2,-1],[3,-2]],[[1,2],[2,2],[4,2]]]",5,0,4,12,"(-5, 1)",kink,kink_bridge,three-axis,6e676dfbbc1c21401dbd78dce37a90ae6b5e223f,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,1.665e-16,3,3,3,3","{""rail"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",2efb193b89c260af6b6e10046f10e821e44b923c,0,19,4,"{""A"":5,""M"":2,""O"":12}",1,12,0.08333333333333333,"(9, 8, 5)",9
T_0169,E000000170,proto,4,2,0,"[[-2,0],[-1,0],[0,2]]",[],"[[0,0],[0,1]]","[[[-5,0],[-4,0],[-3,0]],[[0,-3],[0,-2],[0,-1]],[[0,3],[0,4],[0,5]],[[1,0],[2,0],[3,0]]]",3,0,4,12,"(-1, 0)",adjacent,adjacent,three-axis,b3b26d70e881c43e46b6b210f22eae5694f3e7cb,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3","{""random"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",7988105812983a96d6d2d8938b058704d0cb1482,0,17,4,"{""A"":3,""M"":2,""O"":12}",1,12,0.08333333333333333,"(10, 8, 8)",10
T_0178,E000000179,proto,4,2,0,"[[-2,0],[-1,0],[0,2],[0,5]]",[],"[[0,0],[0,3]]","[[[-5,0],[-4,0],[-3,0]],[[0,-2],[0,-1],[0,1]],[[0,4],[0,6],[0,7]],[[1,0],[2,0],[3,0]]]",4,0,4,12,"(-3, 0)",rail,rail_ladder,three-axis,bf32b72fcc2ec6efaac156ea993cf0e8d27c3e91,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3","{""random"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",630a9ff133558fd9ffb066674c61553ada1d50d9,0,18,4,"{""A"":4,""M"":2,""O"":12}",1,12,0.08333333333333333,"(12, 9, 8)",12
T_0220,E000000221,proto,4,2,0,"[[0,1],[1,-1],[1,0]]",[],"[[-1,2],[1,-2]]","[[[-4,5],[-3,4],[-2,3]],[[1,-5],[1,-4],[1,-3]],[[1,1],[1,2],[1,3]],[[2,-1],[3,-2],[4,-3]]]",3,0,4,12,"(-4, 2)",kink,kink_bridge,three-axis,147e0b743cf4fa8c94b8122b230fef0ef0854df9,1,2,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3","{""opening"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 2)",7988105812983a96d6d2d8938b058704d0cb1482,0,17,4,"{""A"":3,""M"":2,""O"":12}",2,6,0.16666666666666666,"(10, 8, 8)",10
T_0224,E000000225,proto,4,2,0,"[[0,1],[1,-1],[1,0]]",[],"[[-1,2],[1,1]]","[[[-4,5],[-3,4],[-2,3]],[[1,-4],[1,-3],[1,-2]],[[1,2],[1,3],[1,4]],[[2,-1],[3,-2],[4,-3]]]",3,0,4,12,"(-2, 1)",bridge,bridge_fork,three-axis,7a406b4e487938b6bcc72862d4d678d00acf1f2b,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3","{""opening"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",7988105812983a96d6d2d8938b058704d0cb1482,0,17,4,"{""A"":3,""M"":2,""O"":12}",1,12,0.08333333333333333,"(9, 8, 8)",9
T_0225,E000000226,proto,4,2,0,"[[0,-1],[0,1],[1,-1],[1,0]]","[[-1,-1]]","[[1,-3],[2,-1]]","[[[-3,4],[-2,3],[-1,2]],[[1,-2],[1,1],[1,2]],[[3,-2],[4,-3],[5,-4]],[[3,-1],[4,-1],[5,-1]]]",4,1,4,12,"(-3, 1)",kink,kink_bridge,three-axis,7b680d718615608d01290e9b3859b9cb705cd39e,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,1.665e-16,3,3,3,3","{""opening"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",459f629c8d96fc3166f1de382ad27797ad2e3f01,0,19,4,"{""A"":4,""D"":1,""M"":2,""O"":12}",1,12,0.08333333333333333,"(8, 8, 6)",8
T_0234,E000000236,proto,4,2,0,"[[0,-1],[0,1],[1,-1],[1,0]]","[[-1,-1]]","[[1,2],[2,-1]]","[[[-3,4],[-2,3],[-1,2]],[[1,1],[1,3],[1,4]],[[3,-2],[4,-3],[5,-4]],[[3,-1],[4,-1],[5,-1]]]",4,1,4,12,"(-3, 1)",kink,kink_bridge,three-axis,baf96fa781f190ebfda3c451a7de6423c129a3af,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,1.665e-16,3,3,3,3","{""opening"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",459f629c8d96fc3166f1de382ad27797ad2e3f01,0,19,4,"{""A"":4,""D"":1,""M"":2,""O"":12}",1,12,0.08333333333333333,"(8, 8, 7)",8
T_0238,E000000241,proto,4,2,0,"[[0,-1],[0,1],[1,-1],[1,0]]","[[-1,-1]]","[[1,-4],[2,-1]]","[[[-3,4],[-2,3],[-1,2]],[[1,-3],[1,-2],[1,1]],[[3,-2],[4,-3],[5,-4]],[[3,-1],[4,-1],[5,-1]]]",4,1,4,12,"(-4, 1)",kink,kink_bridge,three-axis,fd32e4449f848ad8c2054b9e91b8bfe0ca7e4cf0,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,1.665e-16,3,3,3,3","{""opening"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",459f629c8d96fc3166f1de382ad27797ad2e3f01,0,19,4,"{""A"":4,""D"":1,""M"":2,""O"":12}",1,12,0.08333333333333333,"(8, 8, 7)",8
T_0254,E000000257,proto,4,2,1,"[[-2,2],[-2,4],[-1,1],[-1,4],[0,0],[1,-1],[2,-2]]","[[-2,0]]","[[-3,4],[3,-3]]","[[[-3,3]],[[4,-4]],[[-6,4],[-5,4],[-4,4]],[[0,4],[1,4],[2,4]]]",7,1,4,8,"(-7, 1)",kink,kink_bridge,three-axis,6e3c854854be7a1bb09434aac3a6faf283d4b49f,1,1,8,4,"{""1"":2,""3"":2}",2,0,4,9,0.0,"-1.11e-16,-1.11e-16,0,0,3,3,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 8, 2, 0, 2, 1)",3c1256e45dd1ac1297fec6844bc6ae472b89f0b5,0,18,4,"{""A"":7,""D"":1,""M"":2,""O"":8}",1,12,0.08333333333333333,"(10, 8, 8)",10
T_0256,E000000259,proto,4,2,1,"[[-2,2],[-2,4],[-1,1],[-1,4],[0,0],[1,-1],[2,-2]]","[[-2,0]]","[[0,4],[3,-3]]","[[[-3,3]],[[4,-4]],[[-5,4],[-4,4],[-3,4]],[[1,4],[2,4],[3,4]]]",7,1,4,8,"(-7, 3)",kink,kink_bridge,three-axis,4d711ef8a113ede398526ad9729131ebc12de370,1,1,8,4,"{""1"":2,""3"":2}",2,0,4,9,0.0,"-1.11e-16,-1.11e-16,0,0,3,3,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 8, 2, 0, 2, 1)",3c1256e45dd1ac1297fec6844bc6ae472b89f0b5,0,18,4,"{""A"":7,""D"":1,""M"":2,""O"":8}",1,12,0.08333333333333333,"(9, 9, 8)",9
T_0259,E000000262,proto,4,2,0,"[[-2,1],[-2,4],[-1,1],[-1,4],[1,-1],[2,-2]]",[],"[[-3,1],[-1,2]]","[[[-6,1],[-5,1],[-4,1]],[[-1,3],[-1,5],[-1,6]],[[0,0],[3,-3],[4,-4]],[[0,1],[1,1],[2,1]]]",6,0,4,12,"(-3, 1)",kink,kink_bridge,three-axis,d5632932c9db82095ac6fd389ac5311fbb0886bc,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,1.11e-16,3,3,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",bc50c383c4db443566561932b33a921714f70c60,0,20,4,"{""A"":6,""M"":2,""O"":12}",1,12,0.08333333333333333,"(10, 10, 10)",10
T_0264,E000000267,proto,4,2,0,"[[-2,1],[-2,4],[-1,1],[-1,4],[1,-1],[2,-2]]",[],"[[-3,1],[-1,3]]","[[[-6,1],[-5,1],[-4,1]],[[-1,2],[-1,5],[-1,6]],[[0,0],[3,-3],[4,-4]],[[0,1],[1,1],[2,1]]]",6,0,4,12,"(-4, 2)",kink,kink_bridge,three-axis,d307e67219cd63dba285cee43fd6b154a4ee2a91,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,1.11e-16,3,3,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",bc50c383c4db443566561932b33a921714f70c60,0,20,4,"{""A"":6,""M"":2,""O"":12}",1,12,0.08333333333333333,"(10, 10, 10)",10
T_0269,E000000272,proto,4,2,0,"[[-2,2],[-2,3],[-2,4],[-1,4],[2,-2]]",[],"[[-3,4],[0,-1]]","[[[-6,4],[-5,4],[-4,4]],[[-2,-1],[-2,0],[-2,1]],[[-2,5],[-2,6],[-2,7]],[[0,4],[1,4],[2,4]]]",5,0,4,12,"(-5, 2)",kink,kink_bridge,three-axis,8712f9447c4138bfa4010a7c35a0134d92a4d20d,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",24d3d8fcd19e64699d82b89ae1e7e1103391bee7,0,19,4,"{""A"":5,""M"":2,""O"":12}",1,12,0.08333333333333333,"(9, 9, 8)",9
T_0272,E000000275,proto,4,2,0,"[[-2,2],[-2,3],[-2,4],[-1,4],[2,-2]]",[],"[[-3,4],[1,-2]]","[[[-6,4],[-5,4],[-4,4]],[[-2,-1],[-2,0],[-2,1]],[[-2,5],[-2,6],[-2,7]],[[0,4],[1,4],[2,4]]]",5,0,4,12,"(-6, 2)",kink,kink_bridge,three-axis,4038a58836bb464c587dbffceed6dae82a23fec2,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",24d3d8fcd19e64699d82b89ae1e7e1103391bee7,0,19,4,"{""A"":5,""M"":2,""O"":12}",1,12,0.08333333333333333,"(9, 9, 8)",9
T_0275,E000000278,exact,4,2,0,"[[-2,1],[-2,2],[-2,3],[-2,4],[-1,4]]",[],"[[-3,4],[0,4]]","[[[-5,4],[-4,4]],[[-2,-1],[-2,0]],[[-2,5],[-2,6]],[[1,4],[2,4]]]",5,0,4,8,"(-3, 0)",rail,rail_ladder,three-axis,4a922b4aea8d2a2635cecf113cd833058bbe070c,1,1,8,4,"{""2"":4}",0,4,4,16,0.0,"0,0,0,0,2,2,2,2","{""selfplay"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 8, 0, 4, 0, 1)",00e0e786fe556c79fe18449ea4dde5695b15b69f,0,15,4,"{""A"":5,""M"":2,""O"":8}",1,12,0.08333333333333333,"(9, 7, 7)",9
T_0276,E000000279,proto,4,2,0,"[[-2,2],[-2,3],[-2,4],[1,-1],[2,-2]]",[],"[[-3,4],[0,4]]","[[[-2,-1],[-2,0],[-2,1]],[[-2,5],[-2,6],[-2,7]],[[-1,1],[0,0],[3,-3]],[[-1,4],[1,4],[2,4]]]",5,0,4,12,"(-3, 0)",rail,rail_ladder,three-axis,128d1a9542f62b02280b2723cd86568f4306735d,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,5.551e-17,3,3,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",2ca22cf139113dcc285d29934dbf37354dc536e9,0,19,4,"{""A"":5,""M"":2,""O"":12}",1,12,0.08333333333333333,"(10, 9, 6)",10
T_0279,E000000282,proto,4,2,0,"[[-2,2],[-2,3],[-2,4],[-1,4],[2,-2]]",[],"[[-3,2],[-3,4]]","[[[-6,4],[-5,4],[-4,4]],[[-2,-1],[-2,0],[-2,1]],[[-2,5],[-2,6],[-2,7]],[[0,4],[1,4],[2,4]]]",5,0,4,12,"(-2, 0)",rail,rail_ladder,three-axis,89305200564a1e14c87ef440e359d5ce28b468e0,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",24d3d8fcd19e64699d82b89ae1e7e1103391bee7,0,19,4,"{""A"":5,""M"":2,""O"":12}",1,12,0.08333333333333333,"(9, 9, 8)",9
T_0280,E000000283,proto,4,2,0,"[[-2,2],[-2,3],[-2,4],[-1,4],[2,-2]]",[],"[[0,-1],[0,4]]","[[[-5,4],[-4,4],[-3,4]],[[-2,-1],[-2,0],[-2,1]],[[-2,5],[-2,6],[-2,7]],[[1,4],[2,4],[3,4]]]",5,0,4,12,"(-5, 0)",rail,rail_ladder,three-axis,65812b8ea6358869fc0ed80b3a8eef0e344674a6,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",24d3d8fcd19e64699d82b89ae1e7e1103391bee7,0,19,4,"{""A"":5,""M"":2,""O"":12}",1,12,0.08333333333333333,"(10, 9, 8)",10
T_0283,E000000286,proto,4,2,0,"[[-2,2],[-2,3],[-2,4],[-1,4],[2,-2]]",[],"[[0,4],[1,-2]]","[[[-5,4],[-4,4],[-3,4]],[[-2,-1],[-2,0],[-2,1]],[[-2,5],[-2,6],[-2,7]],[[1,4],[2,4],[3,4]]]",5,0,4,12,"(-6, 1)",kink,kink_bridge,three-axis,d0f1ffa7aea60fca2cf7079abc80081fc99fe5e4,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",24d3d8fcd19e64699d82b89ae1e7e1103391bee7,0,19,4,"{""A"":5,""M"":2,""O"":12}",1,12,0.08333333333333333,"(10, 9, 8)",10
