template_id,source_event_id,kind,tau,pressure,terminal,attacker_stones,defender_stones,move_stones,obligation_edges,num_attacker_stones,num_defender_stones,num_obligations,num_obligation_vertices,pair_shape,shape_kind,family,line_axis_support,canonical_signature,frequency,automorphism_group_size,number_of_vertices,number_of_edges,edge_size_histogram,singleton_count,pair_edge_count,transversal_number_tau,number_of_minimum_transversals,intersection_graph_density,laplacian_spectrum,source_counts,source_span,source_entropy,generality_index,channel_label,integer_fingerprint,abstract_incidence_signature,abstract_signature_exact,incidence_cell_count,incidence_edge_count,cell_color_histogram,d6_stabilizer_order,d6_orbit_size,burnside_fixed_fraction,a2_support_signature,a2_coxeter_diameter,abstract_signature_frequency,abstract_signature_representatives
T_0087,E000000088,exact,3,1,1,"[[-3,0],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-1],[0,0],[1,0],[2,-1]]",[],"[[2,-2],[2,0]]","[[[-4,0]],[[3,0]],[[1,-1],[3,-1]]]",9,0,3,4,"(-2, 0)",rail,rail,three-axis,1a863e3342ece3ea301b42b29b58098c49202356,1,1,4,3,"{""1"":2,""2"":1}",2,1,3,2,0.0,"0,0,0,2","{""adversarial"":1}",1,0.0,0.693147,source-local,"(3, 1, 3, 4, 2, 1, 0, 1)",a16aff3ee41b03204619ae158a6dc786e70df875,0,15,3,"{""A"":9,""M"":2,""O"":4}",1,12,0.08333333333333333,"(7, 7, 2)",7,9,9
T_0253,E000000256,proto,3,1,1,"[[-2,2],[-1,1],[-1,4],[0,0],[1,-1],[2,-2]]",[],"[[-1,2],[3,-3]]","[[[-3,3]],[[4,-4]],[[-1,3],[-1,5],[-1,6]]]",6,0,3,5,"(-5, 1)",kink,kink_bridge,three-axis,0a42b83b5e572a8e0f2617aea3bef11d8b8e6174,1,1,5,3,"{""1"":2,""3"":1}",2,0,3,3,0.0,"-1.11e-16,0,0,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(3, 1, 3, 5, 2, 0, 1, 1)",af72e18e651a9492ed1d2cca705180b462ee08e0,1,13,3,"{""A"":6,""M"":2,""O"":5}",1,12,0.08333333333333333,"(10, 7, 5)",10,3,3
T_0120,E000000121,exact,3,1,0,"[[-1,2],[0,-1],[0,0],[0,1],[3,2]]",[],"[[-2,2],[0,2]]","[[[0,-3],[0,-2]],[[0,3],[0,4]],[[1,2],[2,2]]]",5,0,3,6,"(-2, 0)",rail,rail_ladder,three-axis,02771a31df24fdde0f2dd10fb27418e4914f703b,1,1,6,3,"{""2"":3}",0,3,3,8,0.0,"0,0,0,2,2,2","{""rail"":1}",1,0.0,0.693147,source-local,"(3, 1, 3, 6, 0, 3, 0, 1)",e97f22be8e27ba3930c92391389cfa730f6a7c30,1,13,3,"{""A"":5,""M"":2,""O"":6}",1,12,0.08333333333333333,"(8, 7, 5)",8,4,4
T_0114,E000000115,exact,3,1,0,"[[0,-2],[0,-1],[0,0],[0,1],[1,1],[3,1]]","[[-1,1]]","[[2,-2],[2,1]]","[[[0,-4],[0,-3]],[[0,2],[0,3]],[[4,1],[5,1]]]",6,1,3,6,"(-3, 0)",rail,rail_ladder,three-axis,33519537a9611bc311cf62ffb4dfdb9ece02e5b3,1,1,6,3,"{""2"":3}",0,3,3,8,0.0,"0,0,0,2,2,2","{""rail"":1}",1,0.0,0.693147,source-local,"(3, 1, 3, 6, 0, 3, 0, 1)",f07ce4b4033a6c4771ca212d7c7d98ebdcc39789,0,15,3,"{""A"":6,""D"":1,""M"":2,""O"":6}",1,12,0.08333333333333333,"(10, 7, 6)",10,4,4
