conway_embedding_signature,templates,events,families,manifold_labels,mean_convex_deficit,mean_boundary_edges,mean_a2_diameter
"(2, 1, 0, 39, '(13, 11, 5)', (16, 16, 15, 15, 10, 10), ((10, 9, 2, 2, 2, 2), (6, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1), (6, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",39.0,82.0,13.0
"(2, 1, 0, 36, '(10, 8, 7)', (15, 15, 15, 15, 8, 8), ((9, 6, 6, 2, 1, 1, 1, 1), (6, 4, 4, 4, 3, 2, 2, 1, 1), (6, 4, 4, 3, 2, 2, 2, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",36.0,76.0,10.0
"(2, 1, 0, 56, '(12, 9, 9)', (19, 19, 15, 15, 10, 10), ((10, 3, 3, 3, 3, 2, 1, 1, 1, 1), (9, 6, 6, 1, 1, 1, 1, 1, 1, 1), (3, 3, 3, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",56.0,88.0,12.0
"(2, 1, 0, 53, '(12, 9, 8)', (19, 19, 18, 18, 12, 12), ((9, 6, 2, 2, 2, 2, 1, 1, 1), (9, 3, 3, 3, 3, 1, 1, 1, 1, 1), (6, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)))",1,1,"{""bridge_fork"":1}","{""disk"":1}",53.0,98.0,12.0
"(2, 1, 0, 49, '(9, 9, 9)', (15, 15, 12, 12, 12, 12), ((9, 3, 3, 3, 2, 2, 1, 1, 1, 1), (9, 3, 3, 3, 2, 2, 1, 1, 1, 1), (6, 6, 2, 2, 2, 2, 2, 2, 1, 1)))",1,1,"{""adjacent"":1}","{""disk"":1}",49.0,78.0,9.0
"(2, 1, 0, 39, '(9, 8, 8)', (15, 15, 12, 12, 12, 12), ((9, 3, 3, 3, 2, 2, 2, 1, 1), (9, 3, 3, 3, 2, 2, 1, 1, 1, 1), (6, 6, 2, 2, 2, 2, 2, 2, 2)))",1,1,"{""rail_ladder"":1}","{""disk"":1}",39.0,78.0,9.0
"(2, 0, 1, 26, '(9, 9, 6)', (16, 16, 13, 13, 12, 12), ((10, 4, 4, 3, 3, 3, 1), (6, 6, 6, 2, 2, 2, 1, 1, 1, 1), (6, 4, 3, 3, 3, 3, 2, 2, 1, 1)))",1,1,"{""rail_ladder"":1}","{""annulus"":1}",26.0,82.0,9.0
"(2, 1, 0, 41, '(9, 8, 8)', (15, 15, 15, 15, 15, 15), ((9, 2, 2, 2, 2, 2, 2, 2, 1), (9, 2, 2, 2, 2, 2, 2, 2, 1), (9, 2, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disk"":1}",41.0,90.0,9.0
"(2, 1, 0, 28, '(7, 7, 7)', (12, 12, 8, 8, 8, 8), ((8, 6, 1, 1, 1, 1, 1, 1), (8, 2, 2, 2, 2, 2, 1, 1), (3, 3, 3, 3, 2, 2, 2, 2)))",1,1,"{""bridge_fork"":1}","{""disk"":1}",28.0,56.0,7.0
"(2, 1, 0, 31, '(8, 7, 7)', (12, 12, 8, 8, 8, 8), ((8, 6, 1, 1, 1, 1, 1, 1), (8, 2, 2, 2, 2, 2, 1, 1), (3, 3, 3, 2, 2, 2, 2, 2, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",31.0,56.0,8.0
"(2, 1, 0, 26, '(7, 7, 7)', (12, 12, 8, 8, 8, 8), ((8, 6, 1, 1, 1, 1, 1, 1), (8, 2, 2, 2, 2, 2, 1, 1), (3, 3, 3, 3, 2, 2, 2, 2)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",26.0,56.0,7.0
"(2, 1, 0, 31, '(8, 7, 7)', (12, 12, 8, 8, 8, 8), ((8, 6, 1, 1, 1, 1, 1, 1), (8, 2, 2, 2, 2, 2, 1, 1), (3, 3, 3, 3, 2, 2, 2, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",31.0,56.0,8.0
"(2, 1, 0, 26, '(8, 7, 6)', (11, 11, 9, 9, 7, 7), ((8, 8, 1, 1, 1, 1, 1), (7, 2, 2, 2, 2, 2, 2, 1, 1), (3, 3, 3, 3, 3, 2, 2, 2)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",26.0,54.0,8.0
"(2, 1, 0, 26, '(8, 7, 6)', (12, 12, 8, 8, 7, 7), ((8, 8, 1, 1, 1, 1, 1), (7, 2, 2, 2, 2, 2, 2, 2), (3, 3, 3, 3, 3, 2, 2, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",26.0,54.0,8.0
"(2, 2, 0, 39, '(9, 8, 8)', (14, 14, 13, 13, 12, 12), ((9, 3, 2, 2, 2, 2, 1, 1, 1, 1), (7, 4, 3, 2, 2, 2, 2, 1, 1), (6, 6, 3, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",39.0,78.0,9.0
"(2, 1, 0, 53, '(9, 9, 9)', (16, 16, 13, 13, 12, 12), ((9, 3, 2, 2, 1, 1, 1, 1, 1, 1), (9, 3, 2, 2, 1, 1, 1, 1, 1, 1), (6, 2, 2, 2, 2, 2, 2, 2, 1, 1)))",1,1,"{""bridge_fork"":1}","{""disk"":1}",53.0,82.0,9.0
"(2, 1, 0, 57, '(12, 9, 8)', (17, 17, 14, 14, 14, 14), ((10, 3, 2, 2, 2, 2, 1, 1, 1), (9, 3, 2, 2, 2, 2, 1, 1, 1, 1), (7, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",57.0,90.0,12.0
"(2, 2, 0, 37, '(11, 11, 5)', (15, 15, 13, 13, 7, 7), ((10, 9, 2, 1, 1, 1), (6, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1), (3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1)))",1,1,"{""adjacent"":1}","{""disconnected"":1}",37.0,70.0,11.0
"(2, 2, 0, 38, '(8, 8, 8)', (15, 15, 13, 13, 12, 12), ((9, 3, 2, 2, 2, 1, 1, 1, 1), (9, 3, 2, 2, 2, 1, 1, 1, 1), (6, 2, 2, 2, 2, 2, 2, 2, 2)))",1,1,"{""rail_ladder"":1}","{""disconnected"":1}",38.0,80.0,8.0
"(2, 1, 0, 33, '(10, 8, 6)', (14, 14, 13, 13, 7, 7), ((9, 6, 2, 2, 2, 1, 1), (6, 6, 2, 2, 2, 2, 1, 1, 1), (4, 3, 3, 3, 3, 2, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",33.0,68.0,10.0
"(2, 1, 0, 52, '(10, 9, 8)', (16, 16, 11, 11, 9, 9), ((9, 6, 1, 1, 1, 1, 1, 1, 1), (9, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1), (3, 3, 3, 2, 2, 2, 2, 2, 2, 1)))",1,1,"{""rail_ladder"":1}","{""disk"":1}",52.0,72.0,10.0
"(2, 1, 0, 48, '(9, 9, 8)', (15, 15, 10, 10, 9, 9), ((9, 6, 1, 1, 1, 1, 1, 1, 1), (9, 2, 2, 2, 2, 1, 1, 1, 1, 1), (3, 3, 3, 2, 2, 2, 2, 2, 2, 1)))",1,1,"{""adjacent"":1}","{""disk"":1}",48.0,68.0,9.0
"(2, 1, 0, 47, '(10, 8, 8)', (19, 19, 14, 14, 9, 9), ((9, 6, 1, 1, 1, 1, 1, 1, 1), (9, 2, 2, 2, 2, 2, 1, 1, 1), (3, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",47.0,84.0,10.0
"(2, 1, 0, 64, '(12, 9, 9)', (20, 20, 14, 14, 10, 10), ((10, 2, 2, 2, 2, 1, 1, 1, 1, 1), (9, 6, 1, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1)))",1,1,"{""adjacent"":1}","{""disk"":1}",64.0,88.0,12.0
"(2, 1, 0, 36, '(12, 10, 5)', (15, 15, 11, 11, 7, 7), ((10, 9, 2, 1, 1, 1), (6, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1), (3, 3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",36.0,66.0,12.0
"(2, 1, 0, 41, '(12, 9, 6)', (14, 14, 13, 13, 12, 12), ((10, 3, 3, 3, 3, 2, 1), (6, 6, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1), (6, 3, 3, 3, 3, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",41.0,78.0,12.0
"(2, 1, 0, 51, '(10, 9, 8)', (16, 16, 11, 11, 9, 9), ((10, 6, 1, 1, 1, 1, 1, 1, 1), (9, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1), (3, 3, 3, 2, 2, 2, 2, 2, 2, 2)))",1,1,"{""rail_ladder"":1}","{""disk"":1}",51.0,72.0,10.0
"(2, 1, 0, 42, '(9, 8, 8)', (12, 12, 12, 12, 10, 10), ((9, 3, 3, 2, 2, 1, 1, 1, 1), (6, 6, 2, 2, 2, 2, 1, 1, 1), (6, 3, 3, 3, 2, 2, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",42.0,68.0,9.0
"(2, 1, 0, 46, '(11, 9, 7)', (13, 13, 13, 13, 12, 12), ((10, 3, 3, 3, 2, 2, 1, 1), (6, 6, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1), (6, 3, 3, 3, 3, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",46.0,76.0,11.0
"(2, 1, 0, 43, '(13, 9, 6)', (14, 14, 13, 13, 12, 12), ((10, 3, 3, 3, 3, 2, 1), (6, 6, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), (6, 3, 3, 3, 3, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",43.0,78.0,13.0
"(2, 1, 0, 29, '(9, 9, 6)', (17, 17, 12, 12, 10, 10), ((10, 3, 3, 3, 3, 2, 1), (6, 6, 6, 1, 1, 1, 1, 1, 1, 1), (4, 4, 3, 3, 3, 3, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",29.0,78.0,9.0
"(2, 1, 0, 29, '(9, 8, 6)', (15, 15, 13, 13, 7, 7), ((9, 6, 2, 2, 2, 1, 1), (6, 6, 2, 2, 2, 2, 1, 1, 1), (4, 3, 3, 3, 3, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",29.0,70.0,9.0
"(2, 1, 0, 37, '(9, 9, 7)', (16, 16, 12, 12, 10, 10), ((10, 3, 3, 3, 2, 2, 1, 1), (6, 6, 6, 1, 1, 1, 1, 1, 1, 1), (3, 3, 3, 3, 3, 3, 2, 2, 2, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",37.0,76.0,9.0
"(2, 1, 0, 47, '(10, 9, 8)', (16, 16, 12, 12, 10, 10), ((10, 3, 3, 2, 2, 2, 1, 1, 1), (6, 6, 6, 1, 1, 1, 1, 1, 1, 1), (3, 3, 3, 3, 3, 2, 2, 2, 2, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",47.0,76.0,10.0
"(2, 1, 0, 43, '(9, 8, 8)', (15, 15, 13, 13, 13, 13), ((9, 2, 2, 2, 2, 2, 1, 1, 1), (9, 2, 2, 2, 2, 2, 1, 1, 1), (7, 2, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""bridge_fork"":1}","{""disk"":1}",43.0,82.0,9.0
"(2, 1, 0, 39, '(8, 8, 8)', (15, 15, 13, 13, 13, 13), ((9, 2, 2, 2, 2, 2, 1, 1, 1), (9, 2, 2, 2, 2, 2, 1, 1, 1), (7, 2, 2, 2, 2, 2, 2, 2, 1)))",1,1,"{""bridge_fork"":1}","{""disk"":1}",39.0,82.0,8.0
"(2, 2, 0, 58, '(11, 10, 8)', (22, 22, 18, 18, 7, 7), ((9, 9, 1, 1, 1, 1, 1), (7, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1), (3, 3, 3, 2, 2, 2, 2, 2, 2, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disconnected"":1}",58.0,94.0,11.0
"(2, 2, 0, 60, '(12, 10, 8)', (22, 22, 18, 18, 7, 7), ((9, 9, 1, 1, 1, 1, 1), (7, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1), (3, 3, 3, 2, 2, 2, 2, 2, 2, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",60.0,94.0,12.0
"(2, 1, 0, 43, '(9, 8, 8)', (14, 14, 9, 9, 9, 9), ((9, 6, 1, 1, 1, 1, 1, 1, 1), (9, 2, 2, 2, 2, 2, 1, 1, 1), (3, 3, 3, 3, 2, 2, 2, 2, 1, 1)))",1,1,"{""bridge_fork"":1}","{""disk"":1}",43.0,64.0,9.0
"(2, 1, 0, 58, '(10, 9, 9)', (15, 15, 13, 13, 13, 13), ((9, 2, 2, 2, 2, 1, 1, 1, 1, 1), (9, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1), (6, 2, 2, 2, 2, 2, 2, 2, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disk"":1}",58.0,82.0,10.0
"(2, 2, 0, 42, '(8, 8, 8)', (16, 16, 10, 10, 10, 10), ((9, 2, 1, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 2, 2, 1)))",1,1,"{""rail_ladder"":1}","{""disconnected"":1}",42.0,72.0,8.0
"(2, 1, 0, 42, '(8, 8, 8)', (15, 15, 10, 10, 9, 9), ((9, 2, 1, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 2, 2, 1)))",1,1,"{""rail_ladder"":1}","{""disk"":1}",42.0,68.0,8.0
"(2, 1, 0, 47, '(9, 8, 8)', (15, 15, 10, 10, 9, 9), ((9, 2, 1, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""adjacent"":1}","{""disk"":1}",47.0,68.0,9.0
"(2, 1, 0, 44, '(8, 8, 8)', (15, 15, 9, 9, 9, 9), ((9, 1, 1, 1, 1, 1, 1, 1, 1), (9, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 2, 2, 2, 1)))",1,1,"{""rail_ladder"":1}","{""disk"":1}",44.0,66.0,8.0
"(2, 1, 0, 2, '(9, 8, 1)', (10, 10, 9, 9, 2, 2), ((8, 8), (2, 2, 2, 2, 2, 2, 2, 1, 1), (2, 2, 2, 2, 2, 2, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",2.0,42.0,9.0
"(2, 1, 0, 9, '(9, 8, 2)', (10, 10, 9, 9, 3, 3), ((8, 8, 1), (3, 2, 2, 2, 2, 2, 2, 1, 1), (3, 2, 2, 2, 2, 2, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",9.0,44.0,9.0
"(2, 1, 0, 36, '(8, 7, 7)', (13, 13, 9, 9, 8, 8), ((8, 2, 1, 1, 1, 1, 1, 1), (8, 2, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",36.0,60.0,8.0
"(2, 1, 0, 15, '(7, 7, 5)', (11, 11, 8, 8, 6, 6), ((8, 6, 1, 1, 1, 1), (6, 2, 2, 2, 2, 2, 1, 1), (3, 3, 3, 3, 2, 2, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disk"":1}",15.0,50.0,7.0
"(2, 1, 0, 34, '(10, 7, 6)', (11, 11, 8, 8, 7, 7), ((8, 2, 2, 2, 2, 1, 1), (6, 6, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)))",1,1,"{""rail"":1}","{""disk"":1}",34.0,52.0,10.0
"(2, 1, 0, 61, '(10, 9, 9)', (13, 13, 12, 12, 10, 10), ((9, 2, 1, 1, 1, 1, 1, 1, 1, 1), (6, 2, 2, 2, 2, 1, 1, 1, 1, 1), (6, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",61.0,70.0,10.0
"(2, 1, 0, 40, '(9, 8, 8)', (14, 14, 12, 12, 10, 10), ((9, 2, 1, 1, 1, 1, 1, 1, 1, 1), (7, 2, 2, 2, 2, 1, 1, 1, 1), (6, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disk"":1}",40.0,72.0,9.0
"(2, 1, 0, 29, '(10, 8, 5)', (13, 13, 9, 9, 6, 6), ((9, 2, 2, 2, 2, 2), (6, 6, 1, 1, 1, 1, 1, 1, 1), (3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disk"":1}",29.0,56.0,10.0
"(2, 1, 0, 34, '(11, 9, 5)', (17, 17, 15, 15, 6, 6), ((10, 6, 1, 1, 1, 1), (6, 2, 2, 2, 2, 2, 1, 1, 1, 1), (3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",34.0,76.0,11.0
"(2, 2, 0, 51, '(10, 8, 8)', (16, 16, 10, 10, 10, 10), ((9, 2, 1, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",51.0,72.0,10.0
"(2, 1, 0, 32, '(9, 8, 6)', (12, 12, 10, 10, 7, 7), ((9, 3, 2, 2, 2, 1, 1), (6, 6, 2, 1, 1, 1, 1, 1, 1), (4, 3, 3, 2, 2, 2, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",32.0,58.0,9.0
"(2, 2, 0, 51, '(10, 8, 8)', (16, 16, 10, 10, 10, 10), ((9, 2, 1, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disconnected"":1}",51.0,72.0,10.0
"(2, 1, 0, 28, '(9, 8, 5)', (13, 13, 12, 12, 10, 10), ((9, 3, 2, 2, 2, 1), (6, 3, 2, 2, 1, 1, 1, 1, 1, 1), (6, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",28.0,70.0,9.0
"(2, 1, 0, 63, '(12, 9, 8)', (16, 16, 10, 10, 9, 9), ((10, 1, 1, 1, 1, 1, 1, 1, 1), (9, 1, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disk"":1}",63.0,70.0,12.0
"(2, 1, 0, 32, '(8, 8, 6)', (13, 13, 12, 12, 10, 10), ((9, 2, 2, 2, 2, 1, 1), (7, 2, 2, 2, 2, 1, 1, 1, 1), (6, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",32.0,70.0,8.0
"(2, 1, 0, 37, '(8, 8, 7)', (13, 13, 12, 12, 11, 11), ((9, 2, 2, 2, 1, 1, 1, 1), (7, 2, 2, 2, 2, 1, 1, 1, 1), (6, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",37.0,72.0,8.0
"(2, 1, 0, 37, '(8, 8, 7)', (13, 13, 12, 12, 10, 10), ((9, 2, 2, 2, 1, 1, 1, 1), (7, 2, 2, 2, 2, 1, 1, 1, 1), (6, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",37.0,70.0,8.0
"(2, 2, 0, 42, '(10, 8, 8)', (17, 17, 10, 10, 10, 10), ((9, 2, 1, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",42.0,74.0,10.0
"(2, 2, 0, 43, '(9, 9, 8)', (17, 17, 10, 10, 10, 10), ((9, 2, 1, 1, 1, 1, 1, 1, 1), (9, 1, 1, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",43.0,74.0,9.0
"(2, 3, 0, 50, '(9, 9, 8)', (17, 17, 11, 11, 11, 11), ((9, 2, 2, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1, 1), (3, 3, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",50.0,78.0,9.0
"(2, 2, 0, 50, '(9, 9, 8)', (17, 17, 11, 11, 10, 10), ((9, 2, 2, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1, 1), (3, 3, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",50.0,76.0,9.0
"(2, 1, 0, 42, '(10, 9, 6)', (13, 13, 12, 12, 11, 11), ((9, 2, 2, 2, 2, 1, 1), (6, 2, 2, 2, 2, 1, 1, 1, 1, 1), (6, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disk"":1}",42.0,72.0,10.0
"(2, 2, 0, 50, '(9, 9, 8)', (16, 16, 11, 11, 10, 10), ((9, 2, 2, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1, 1), (3, 3, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disconnected"":1}",50.0,74.0,9.0
"(2, 3, 0, 55, '(10, 9, 8)', (17, 17, 11, 11, 11, 11), ((9, 2, 2, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1, 1), (3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disconnected"":1}",55.0,78.0,10.0
"(2, 2, 0, 55, '(10, 9, 8)', (17, 17, 11, 11, 10, 10), ((9, 2, 2, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1, 1), (3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",55.0,76.0,10.0
"(2, 2, 0, 55, '(10, 9, 8)', (16, 16, 11, 11, 10, 10), ((9, 2, 2, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1, 1), (3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",55.0,74.0,10.0
"(2, 2, 0, 53, '(10, 9, 8)', (17, 17, 11, 11, 10, 10), ((9, 3, 1, 1, 1, 1, 1, 1, 1), (9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1), (3, 3, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",53.0,76.0,10.0
"(2, 1, 0, 30, '(9, 6, 6)', (10, 10, 10, 10, 9, 9), ((6, 2, 2, 2, 1, 1, 1), (6, 2, 2, 2, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""adjacent"":1}","{""disk"":1}",30.0,58.0,9.0
"(2, 1, 0, 7, '(8, 8, 2)', (9, 9, 9, 9, 3, 3), ((9, 7, 1), (3, 2, 2, 2, 2, 2, 2, 1, 1), (3, 2, 2, 2, 2, 2, 2, 1, 1)))",1,1,"{""bridge_fork"":1}","{""disk"":1}",7.0,42.0,8.0
"(2, 1, 0, 26, '(8, 8, 6)', (14, 14, 10, 10, 7, 7), ((9, 2, 1, 1, 1, 1, 1), (7, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",26.0,62.0,8.0
"(2, 1, 0, 9, '(9, 8, 2)', (10, 10, 9, 9, 3, 3), ((9, 7, 1), (3, 2, 2, 2, 2, 2, 2, 1, 1), (3, 2, 2, 2, 2, 2, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",9.0,44.0,9.0
"(2, 2, 0, 43, '(9, 8, 7)', (14, 14, 10, 10, 8, 8), ((9, 1, 1, 1, 1, 1, 1, 1), (7, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",43.0,64.0,9.0
"(2, 1, 0, 30, '(8, 8, 5)', (12, 12, 10, 10, 6, 6), ((9, 2, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 1, 1, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disk"":1}",30.0,56.0,8.0
"(2, 1, 0, 8, '(8, 8, 2)', (9, 9, 9, 9, 3, 3), ((9, 6, 1), (3, 2, 2, 2, 2, 2, 1, 1, 1), (3, 2, 2, 2, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",8.0,42.0,8.0
"(2, 2, 0, 30, '(8, 8, 5)', (13, 13, 10, 10, 7, 7), ((9, 2, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",30.0,60.0,8.0
"(2, 1, 0, 16, '(11, 10, 2)', (12, 12, 11, 11, 3, 3), ((9, 6, 1), (3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",16.0,52.0,11.0
"(2, 2, 0, 45, '(9, 8, 7)', (13, 13, 10, 10, 7, 7), ((9, 1, 1, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 1, 1, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",45.0,60.0,9.0
"(2, 1, 0, 37, '(9, 8, 6)', (13, 13, 9, 9, 7, 7), ((9, 1, 1, 1, 1, 1, 1), (7, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1, 1)))",1,1,"{""adjacent"":1}","{""disk"":1}",37.0,58.0,9.0
"(2, 1, 0, 7, '(7, 7, 2)', (8, 8, 8, 8, 3, 3), ((8, 6, 1), (3, 2, 2, 2, 2, 2, 1, 1), (2, 2, 2, 2, 2, 2, 2, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",7.0,38.0,7.0
