conway_embedding_signature,templates,events,families,manifold_labels,mean_convex_deficit,mean_boundary_edges,mean_a2_diameter
"(2, 2, 0, 48, '(10, 8, 7)', (14, 14, 10, 10, 7, 7), ((9, 1, 1, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",3,3,"{""kink_bridge"":2,""rail_ladder"":1}","{""disconnected"":3}",48.0,62.0,10.0
"(2, 2, 0, 33, '(10, 8, 5)', (14, 14, 10, 10, 7, 7), ((9, 2, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)))",3,3,"{""kink_bridge"":3}","{""disconnected"":3}",33.0,62.0,10.0
"(2, 2, 0, 59, '(10, 9, 8)', (14, 14, 10, 10, 7, 7), ((9, 1, 1, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",3,3,"{""kink_bridge"":3}","{""disconnected"":3}",59.0,62.0,10.0
"(2, 2, 0, 53, '(10, 8, 8)', (14, 14, 11, 11, 7, 7), ((9, 2, 1, 1, 1, 1, 1), (6, 2, 2, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",3,3,"{""kink_bridge"":3}","{""disconnected"":3}",53.0,64.0,10.0
"(2, 1, 0, 28, '(10, 8, 8)', (19, 19, 19, 19, 13, 13), ((9, 9, 4, 4, 4, 3, 3, 3, 2), (9, 8, 6, 3, 3, 3, 3, 3, 3), (9, 5, 4, 4, 4, 4, 3, 3, 2, 2, 1)))",2,2,"{""bridge_fork"":1,""rail"":1}","{""disk"":2}",28.0,102.0,10.0
"(2, 1, 0, 47, '(10, 8, 8)', (14, 14, 9, 9, 9, 9), ((9, 6, 1, 1, 1, 1, 1, 1, 1), (9, 2, 2, 2, 2, 2, 1, 1, 1), (3, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1)))",2,2,"{""bridge_fork"":1,""kink_bridge"":1}","{""disk"":2}",47.0,64.0,10.0
"(2, 1, 0, 0, '(8, 7, 1)', (9, 9, 8, 8, 2, 2), ((8, 8), (2, 2, 2, 2, 2, 2, 2, 2), (2, 2, 2, 2, 2, 2, 2, 1, 1)))",2,2,"{""bridge_fork"":1,""rail_ladder"":1}","{""disk"":2}",0.0,38.0,8.0
"(2, 1, 0, 40, '(9, 7, 7)', (13, 13, 8, 8, 8, 8), ((8, 1, 1, 1, 1, 1, 1, 1), (8, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1, 1)))",2,2,"{""kink_bridge"":1,""rail_ladder"":1}","{""disk"":2}",40.0,58.0,9.0
"(2, 1, 0, 33, '(9, 8, 6)', (12, 12, 9, 9, 7, 7), ((9, 2, 2, 2, 2, 1, 1), (6, 6, 1, 1, 1, 1, 1, 1, 1), (3, 3, 3, 2, 2, 2, 1, 1, 1, 1)))",2,2,"{""bridge_fork"":1,""rail_ladder"":1}","{""disk"":2}",33.0,56.0,9.0
"(2, 2, 0, 50, '(9, 9, 8)', (13, 13, 10, 10, 8, 8), ((9, 2, 2, 2, 2, 1, 1, 1), (6, 6, 2, 1, 1, 1, 1, 1, 1), (3, 3, 3, 2, 2, 2, 2, 1, 1, 1)))",2,2,"{""kink_bridge"":2}","{""disconnected"":2}",50.0,62.0,9.0
"(2, 1, 0, 71, '(10, 10, 10)', (14, 14, 13, 13, 11, 11), ((9, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1), (6, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1), (6, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)))",2,2,"{""kink_bridge"":2}","{""disk"":2}",71.0,76.0,10.0
"(2, 1, 0, 24, '(8, 8, 5)', (13, 13, 10, 10, 6, 6), ((9, 2, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 1, 1, 1, 1)))",2,2,"{""kink_bridge"":1,""rail_ladder"":1}","{""disk"":2}",24.0,58.0,8.0
"(2, 1, 0, 36, '(8, 8, 6)', (13, 13, 9, 9, 7, 7), ((9, 1, 1, 1, 1, 1, 1), (7, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 2, 1, 1, 1)))",2,2,"{""adjacent"":1,""rail_ladder"":1}","{""disk"":2}",36.0,58.0,8.0
"(2, 1, 0, 33, '(9, 8, 5)', (12, 12, 9, 9, 6, 6), ((9, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1, 1)))",2,2,"{""adjacent"":1,""rail_ladder"":1}","{""disk"":2}",33.0,54.0,9.0
"(2, 1, 0, 7, '(7, 7, 2)', (8, 8, 8, 8, 3, 3), ((8, 6, 1), (3, 2, 2, 2, 2, 2, 1, 1), (3, 2, 2, 2, 2, 2, 1, 1)))",2,2,"{""adjacent"":1,""kink_bridge"":1}","{""disk"":2}",7.0,38.0,7.0
"(2, 1, 0, 35, '(10, 9, 5)', (14, 14, 10, 10, 6, 6), ((10, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",2,2,"{""kink_bridge"":1,""rail_ladder"":1}","{""disk"":2}",35.0,60.0,10.0
"(2, 1, 0, 29, '(8, 7, 5)', (11, 11, 8, 8, 6, 6), ((8, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1)))",2,2,"{""kink_bridge"":1,""rail_ladder"":1}","{""disk"":2}",29.0,50.0,8.0
"(2, 1, 0, 30, '(9, 8, 5)', (13, 13, 9, 9, 6, 6), ((9, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1, 1)))",2,2,"{""adjacent"":1,""kink_bridge"":1}","{""disk"":2}",30.0,56.0,9.0
"(2, 2, 0, 54, '(13, 8, 7)', (15, 15, 10, 10, 7, 7), ((9, 1, 1, 1, 1, 1, 1), (7, 1, 1, 1, 1, 1, 1, 1, 1), (2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)))",2,2,"{""kink_bridge"":2}","{""disconnected"":2}",54.0,64.0,13.0
"(2, 1, 0, 35, '(8, 8, 6)', (13, 13, 9, 9, 7, 7), ((9, 2, 1, 1, 1, 1, 1), (7, 2, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 2, 2, 1, 1)))",2,2,"{""adjacent"":2}","{""disk"":2}",35.0,58.0,8.0
"(2, 1, 0, 36, '(8, 8, 6)', (12, 12, 10, 10, 7, 7), ((9, 1, 1, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 1, 1, 1, 1)))",2,2,"{""kink_bridge"":2}","{""disk"":2}",36.0,58.0,8.0
