template_id,canonical_signature,abstract_incidence_signature,kind,family,tau,pressure,num_obligations,is_abstract_atom,contained_abstract_atom_count,contained_abstract_atoms
T_0240,20f7bf0b4eccf1abd549b56076c62a6e4f8efa87,9fa36e083b283e33cb06a70718ca85e63a1203bf,proto,kink_bridge,3,1,3,0,2,"[""T_0171"",""T_0250""]"
T_0241,5411649219e7020da353e82e451d42ec9fc62b47,9fa36e083b283e33cb06a70718ca85e63a1203bf,proto,kink_bridge,3,1,3,0,2,"[""T_0171"",""T_0250""]"
T_0242,0fd6c1d150d872ba0228e7ac0eb43ba99af99acb,9fa36e083b283e33cb06a70718ca85e63a1203bf,proto,kink_bridge,3,1,3,1,2,"[""T_0171"",""T_0250""]"
T_0243,114b1ca8823fcb874fc55ff282654733de38fe76,078b0651af8b3bfa10be72bf5c01ee8d508b2f45,proto,rail_ladder,3,1,3,1,0,[]
T_0244,ca32621f534c7d088ad1bc397b7ef105ad13004d,c19c00494fc654aa0cdf7413a00232f1f292a687,proto,kink_bridge,3,1,3,0,0,[]
T_0245,8dc803b07f0c61e4325f8de6a1b5ab1320d59f5b,9fa36e083b283e33cb06a70718ca85e63a1203bf,proto,kink_bridge,3,1,3,0,2,"[""T_0171"",""T_0250""]"
T_0246,f0f382d2f3db6eeefcbfc89af8c9afce6ae4f401,9fa36e083b283e33cb06a70718ca85e63a1203bf,proto,kink_bridge,3,1,3,0,2,"[""T_0171"",""T_0250""]"
T_0247,b2b797490beb01781f9948d63c2843ba9200d6c5,c19c00494fc654aa0cdf7413a00232f1f292a687,proto,adjacent,3,1,3,0,0,[]
T_0248,6a6914ed403554935f15c68d69a73e1a717e6bb7,078b0651af8b3bfa10be72bf5c01ee8d508b2f45,proto,rail_ladder,3,1,3,0,0,[]
T_0249,bf4aee998019c6a4e224573c9c9cc8b9858a6bca,078b0651af8b3bfa10be72bf5c01ee8d508b2f45,proto,kink_bridge,3,1,3,0,0,[]
T_0250,1b7b73f7499caa353d0184e0189e1497688105e6,39cdb62925cd3767342e3c9abc551e02b4b6245f,proto,kink_bridge,3,1,3,1,0,[]
T_0251,fe382ca7324f8f4c74af4fe826676d209b26b85b,078b0651af8b3bfa10be72bf5c01ee8d508b2f45,proto,kink_bridge,3,1,3,0,0,[]
T_0252,e588fa6d90c4cb2252288fe480409dc9f9fe3bc0,01adb9e6c5637ed9d125218dafddd76c88262913,proto,kink_bridge,3,1,3,0,0,[]
T_0253,0a42b83b5e572a8e0f2617aea3bef11d8b8e6174,7d36e56e5ef675c537430ff38a90fdee981c2423,proto,kink_bridge,3,1,3,1,0,[]
T_0255,8d2cebd7ce57529997500d8b93dc86f2265698b3,7d36e56e5ef675c537430ff38a90fdee981c2423,proto,kink_bridge,3,1,3,0,0,[]
T_0257,0e7cdc4a50c219268a714f1b0bb2a5327d97dffe,3b726de77f1c4d339f2f5f15e40c546c2032b3b1,proto,rail,3,1,3,0,0,[]
T_0258,4b45b4c7b0b7c79e0bc607ed174e6001d146ef1b,7d36e56e5ef675c537430ff38a90fdee981c2423,proto,kink_bridge,3,1,3,0,0,[]
T_0261,eba28ca669cb537a807a3e95784eb303c4cdf148,6bc2f23382f01b68fc50f4694dd54b7260c7ce73,proto,kink_bridge,3,1,3,0,3,"[""T_0120"",""T_0171"",""T_0250""]"
T_0262,77f0a75f990c7ffcd5523883289f642d20879eae,6bc2f23382f01b68fc50f4694dd54b7260c7ce73,proto,kink_bridge,3,1,3,0,3,"[""T_0120"",""T_0171"",""T_0250""]"
T_0266,0238dac82560cb4fd18f814bdc12c519d9027a1f,6bc2f23382f01b68fc50f4694dd54b7260c7ce73,proto,kink_bridge,3,1,3,1,3,"[""T_0120"",""T_0171"",""T_0250""]"
T_0267,9172c23829214f9b63717c0e416dd670ab743695,6bc2f23382f01b68fc50f4694dd54b7260c7ce73,proto,adjacent,3,1,3,0,3,"[""T_0120"",""T_0171"",""T_0250""]"
T_0268,5808c041ed25f055565ca32719e5360a0d61eaa8,6bc2f23382f01b68fc50f4694dd54b7260c7ce73,proto,kink_bridge,3,1,3,0,3,"[""T_0120"",""T_0171"",""T_0250""]"
T_0270,fb882e3302c3bb706228d72680eb81bfecef79cc,26f7116812d661f6847eb12fc2e786b789d1edaa,exact,adjacent,3,1,3,1,0,[]
T_0271,cf7dc684d97c581b9a5421c244b56a3aacbfa73c,9fa36e083b283e33cb06a70718ca85e63a1203bf,proto,adjacent,3,1,3,0,2,"[""T_0171"",""T_0250""]"
