rank,pair_shape,frequency
1,"(-3, 1)",43
2,"(-1, 0)",37
3,"(-2, 0)",34
4,"(-4, 1)",30
5,"(-2, 1)",26
6,"(-4, 2)",22
7,"(-3, 0)",20
8,"(-5, 2)",19
9,"(-4, 0)",18
10,"(-5, 1)",17
11,"(-6, 2)",8
12,"(-6, 1)",7
13,"(-6, 3)",7
14,"(-5, 0)",4
15,"(-7, 3)",4
16,"(-7, 2)",2
17,"(-7, 1)",1
18,"(-7, 0)",1
