template_id,source_event_id,kind,tau,pressure,terminal,attacker_stones,defender_stones,move_stones,obligation_edges,num_attacker_stones,num_defender_stones,num_obligations,num_obligation_vertices,pair_shape,shape_kind,family,line_axis_support,canonical_signature,frequency,automorphism_group_size,number_of_vertices,number_of_edges,edge_size_histogram,singleton_count,pair_edge_count,transversal_number_tau,number_of_minimum_transversals,intersection_graph_density,laplacian_spectrum,source_counts,source_span,source_entropy,generality_index,channel_label,integer_fingerprint,abstract_incidence_signature,abstract_signature_exact,incidence_cell_count,incidence_edge_count,cell_color_histogram,d6_stabilizer_order,d6_orbit_size,burnside_fixed_fraction,embedding_cell_count,a2_dimension,a2_convex_area,a2_convex_deficit,a2_support_signature,a2_coxeter_diameter,axis_line_arrangement,boundary_slope_partition,hex_components,hex_holes,hex_euler_characteristic,boundary_edge_count,manifold_label,conway_embedding_signature,abstract_signature_frequency,abstract_signature_representatives
T_0266,E000000269,proto,3,1,0,"[[-2,2],[-2,3],[-2,4],[-1,1],[2,-2]]",[],"[[-1,2],[0,-1]]","[[[-2,-1],[-2,0],[-2,1]],[[-2,5],[-2,6],[-2,7]],[[0,0],[1,-1],[3,-3]]]",5,0,3,9,"(-3, 1)",kink,kink_bridge,three-axis,0238dac82560cb4fd18f814bdc12c519d9027a1f,1,1,9,3,"{""3"":3}",0,0,3,27,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(3, 1, 3, 9, 0, 0, 3, 1)",6bc2f23382f01b68fc50f4694dd54b7260c7ce73,1,16,3,"{""A"":5,""M"":2,""O"":9}",1,12,0.08333333333333333,16,2,48,32,"(10, 8, 5)",10,"((9, 2, 2, 1, 1, 1), (6, 2, 2, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1))","(13, 13, 10, 10, 6, 6)",1,0,1,58,disk,"(2, 1, 0, 32, '(10, 8, 5)', (13, 13, 10, 10, 6, 6), ((9, 2, 2, 1, 1, 1), (6, 2, 2, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",17,17
T_0228,E000000230,proto,3,1,0,"[[0,-1],[1,-1],[1,0]]","[[-1,-1]]","[[2,-1],[3,-2]]","[[[-2,3],[-1,2],[0,1]],[[3,-1],[4,-1],[5,-1]],[[4,-3],[5,-4],[6,-5]]]",3,1,3,9,"(-1, 0)",adjacent,adjacent,three-axis,10c069cf3c4e55a9c1b839089f2f5675a64ffa26,1,1,9,3,"{""3"":3}",0,0,3,27,0.0,"-1.11e-16,-1.11e-16,1.665e-16,3,3,3,3,3","{""opening"":1}",1,0.0,0.693147,source-local,"(3, 1, 3, 9, 0, 0, 3, 1)",c19c00494fc654aa0cdf7413a00232f1f292a687,1,15,3,"{""A"":3,""D"":1,""M"":2,""O"":9}",1,12,0.08333333333333333,15,2,51,36,"(8, 8, 6)",8,"((9, 1, 1, 1, 1, 1, 1), (7, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 2, 1, 1, 1))","(13, 13, 9, 9, 7, 7)",1,0,1,58,disk,"(2, 1, 0, 36, '(8, 8, 6)', (13, 13, 9, 9, 7, 7), ((9, 1, 1, 1, 1, 1, 1), (7, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 2, 1, 1, 1)))",16,16
T_0009,E000000005,proto,3,1,0,"[[-1,1],[-1,2],[0,-1],[0,0]]","[[0,3],[1,-1]]","[[-1,0],[0,-2]]","[[[-1,-3],[-1,-2],[-1,-1]],[[-1,3],[-1,4],[-1,5]],[[0,-3],[0,1],[0,2]]]",4,2,3,9,"(-2, 1)",bridge,bridge_fork,three-axis,4a1251f111dfe10ad1fbbac5d9f79ca9b61d07c9,1,1,9,3,"{""3"":3}",0,0,3,27,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3,3","{""opening"":1}",1,0.0,0.693147,source-local,"(3, 1, 3, 9, 0, 0, 3, 1)",53490d5d7165f8ff5b14f123fc8b350131604b95,1,17,3,"{""A"":4,""D"":2,""M"":2,""O"":9}",1,12,0.08333333333333333,17,2,24,7,"(8, 8, 2)",8,"((9, 7, 1), (3, 2, 2, 2, 2, 2, 2, 1, 1), (3, 2, 2, 2, 2, 2, 2, 1, 1))","(9, 9, 9, 9, 3, 3)",1,0,1,42,disk,"(2, 1, 0, 7, '(8, 8, 2)', (9, 9, 9, 9, 3, 3), ((9, 7, 1), (3, 2, 2, 2, 2, 2, 2, 1, 1), (3, 2, 2, 2, 2, 2, 2, 1, 1)))",2,2
T_0041,E000000042,exact,4,2,1,"[[-3,0],[-2,0],[-1,-1],[-1,0],[0,-1],[0,0],[1,0],[2,-1]]",[],"[[1,-1],[2,0]]","[[[-4,0]],[[3,0]],[[-3,-1],[-2,-1]],[[3,-1],[4,-1]]]",8,0,4,6,"(-2, 1)",bridge,bridge_fork,three-axis,07e1abf7ff16799f352cbf34c49967c89e72eb3a,1,1,6,4,"{""1"":2,""2"":2}",2,2,4,4,0.0,"0,0,0,0,2,2","{""adversarial"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 6, 2, 2, 0, 1)",1fac1747a7bc50949e5ba89fa9e7d7d082304783,1,16,4,"{""A"":8,""M"":2,""O"":6}",1,12,0.08333333333333333,16,2,16,0,"(8, 7, 1)",8,"((8, 8), (2, 2, 2, 2, 2, 2, 2, 2), (2, 2, 2, 2, 2, 2, 2, 1, 1))","(9, 9, 8, 8, 2, 2)",1,0,1,38,disk,"(2, 1, 0, 0, '(8, 7, 1)', (9, 9, 8, 8, 2, 2), ((8, 8), (2, 2, 2, 2, 2, 2, 2, 2), (2, 2, 2, 2, 2, 2, 2, 1, 1)))",4,4
T_0256,E000000259,proto,4,2,1,"[[-2,2],[-2,4],[-1,1],[-1,4],[0,0],[1,-1],[2,-2]]","[[-2,0]]","[[0,4],[3,-3]]","[[[-3,3]],[[4,-4]],[[-5,4],[-4,4],[-3,4]],[[1,4],[2,4],[3,4]]]",7,1,4,8,"(-7, 3)",kink,kink_bridge,three-axis,4d711ef8a113ede398526ad9729131ebc12de370,1,1,8,4,"{""1"":2,""3"":2}",2,0,4,9,0.0,"-1.11e-16,-1.11e-16,0,0,3,3,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 8, 2, 0, 2, 1)",77706d97e72af007ff7c2d7feb52df7e140c0daf,1,18,4,"{""A"":7,""D"":1,""M"":2,""O"":8}",1,12,0.08333333333333333,18,2,61,43,"(9, 9, 8)",9,"((9, 2, 1, 1, 1, 1, 1, 1, 1), (9, 1, 1, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 2, 1, 1, 1))","(17, 17, 10, 10, 10, 10)",2,0,2,74,disconnected,"(2, 2, 0, 43, '(9, 9, 8)', (17, 17, 10, 10, 10, 10), ((9, 2, 1, 1, 1, 1, 1, 1, 1), (9, 1, 1, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 2, 1, 1, 1)))",2,2
T_0146,E000000147,proto,4,2,0,"[[0,0],[0,1],[1,1],[3,1],[3,2]]",[],"[[-2,1],[0,2]]","[[[-4,1],[-3,1],[-1,1]],[[0,-3],[0,-2],[0,-1]],[[0,3],[0,4],[0,5]],[[2,1],[4,1],[5,1]]]",5,0,4,12,"(-3, 1)",kink,kink_bridge,three-axis,11b3d64be8005c95807517de8eedbefe5a68fd95,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3","{""rail"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",18c82b603c83230a256ad8443fdf83721e6be7dc,1,19,4,"{""A"":5,""M"":2,""O"":12}",1,12,0.08333333333333333,19,2,70,51,"(9, 9, 8)",9,"((10, 2, 1, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 2, 2, 1, 1))","(16, 16, 10, 10, 10, 10)",1,0,1,72,disk,"(2, 1, 0, 51, '(9, 9, 8)', (16, 16, 10, 10, 10, 10), ((10, 2, 1, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 2, 2, 1, 1)))",16,16
T_0038,E000000039,proto,4,2,0,"[[-1,0],[0,0],[1,0]]",[],"[[1,-1],[2,-2]]","[[[-4,0],[-3,0],[-2,0]],[[-3,3],[-2,2],[-1,1]],[[2,0],[3,0],[4,0]],[[3,-3],[4,-4],[5,-5]]]",3,0,4,12,"(-1, 0)",adjacent,adjacent,three-axis,0b141bb1cde2b1cf857ae56c43a2f0b3f4da2e52,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,1.665e-16,3,3,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",1a890b08f0c646e2f311b3703d42b181b368309f,1,17,4,"{""A"":3,""M"":2,""O"":12}",1,12,0.08333333333333333,17,2,65,48,"(9, 8, 8)",9,"((9, 1, 1, 1, 1, 1, 1, 1, 1), (9, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 2, 2, 1, 1, 1))","(15, 15, 9, 9, 9, 9)",1,0,1,66,disk,"(2, 1, 0, 48, '(9, 8, 8)', (15, 15, 9, 9, 9, 9), ((9, 1, 1, 1, 1, 1, 1, 1, 1), (9, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 2, 2, 1, 1, 1)))",12,9
T_0142,E000000143,proto,4,2,0,"[[-1,2],[0,0],[0,1],[1,1],[3,1],[3,2]]",[],"[[-4,3],[0,2]]","[[[0,-3],[0,-2],[0,-1]],[[0,3],[0,4],[0,5]],[[1,2],[2,2],[4,2]],[[2,1],[4,1],[5,1]]]",6,0,4,12,"(-4, 1)",kink,kink_bridge,three-axis,5342b3da597dda73987621b8d5d0a20099fe2dd3,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,1.665e-16,3,3,3,3","{""rail"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",e1b95c2983604d86fe1826dd7045eece27b4f20d,1,20,4,"{""A"":6,""M"":2,""O"":12}",1,12,0.08333333333333333,20,2,70,50,"(9, 9, 8)",9,"((9, 2, 2, 2, 2, 1, 1, 1), (6, 6, 2, 1, 1, 1, 1, 1, 1), (3, 3, 3, 2, 2, 2, 2, 1, 1, 1))","(13, 13, 10, 10, 8, 8)",2,0,2,62,disconnected,"(2, 2, 0, 50, '(9, 9, 8)', (13, 13, 10, 10, 8, 8), ((9, 2, 2, 2, 2, 1, 1, 1), (6, 6, 2, 1, 1, 1, 1, 1, 1), (3, 3, 3, 2, 2, 2, 2, 1, 1, 1)))",6,6
T_0225,E000000226,proto,4,2,0,"[[0,-1],[0,1],[1,-1],[1,0]]","[[-1,-1]]","[[1,-3],[2,-1]]","[[[-3,4],[-2,3],[-1,2]],[[1,-2],[1,1],[1,2]],[[3,-2],[4,-3],[5,-4]],[[3,-1],[4,-1],[5,-1]]]",4,1,4,12,"(-3, 1)",kink,kink_bridge,three-axis,7b680d718615608d01290e9b3859b9cb705cd39e,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,1.665e-16,3,3,3,3","{""opening"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",16ad0a1eb82dc7e2cccb4943d833455fd7cca856,1,19,4,"{""A"":4,""D"":1,""M"":2,""O"":12}",1,12,0.08333333333333333,19,2,51,32,"(8, 8, 6)",8,"((9, 2, 2, 2, 2, 1, 1), (7, 2, 2, 2, 2, 1, 1, 1, 1), (6, 2, 2, 2, 2, 2, 1, 1, 1))","(13, 13, 12, 12, 10, 10)",1,0,1,70,disk,"(2, 1, 0, 32, '(8, 8, 6)', (13, 13, 12, 12, 10, 10), ((9, 2, 2, 2, 2, 1, 1), (7, 2, 2, 2, 2, 1, 1, 1, 1), (6, 2, 2, 2, 2, 2, 1, 1, 1)))",3,3
T_0015,E000000011,proto,4,2,0,"[[-1,1],[-1,2],[0,0]]","[[1,-1]]","[[-1,0],[1,0]]","[[[-4,0],[-3,0],[-2,0]],[[-1,-3],[-1,-2],[-1,-1]],[[-1,3],[-1,4],[-1,5]],[[2,0],[3,0],[4,0]]]",3,1,4,12,"(-2, 0)",rail,rail_ladder,three-axis,1789734f7563836a3f84667dcb0af3fbacf09305,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3","{""opening"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",7b289bc5b554757f8da6f8cac7003e60e9df1e60,1,18,4,"{""A"":3,""D"":1,""M"":2,""O"":12}",1,12,0.08333333333333333,18,2,60,42,"(8, 8, 8)",8,"((9, 2, 1, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 2, 2, 1))","(15, 15, 10, 10, 9, 9)",1,0,1,68,disk,"(2, 1, 0, 42, '(8, 8, 8)', (15, 15, 10, 10, 9, 9), ((9, 2, 1, 1, 1, 1, 1, 1, 1), (9, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 2, 2, 1)))",3,3
