family,pair_shape,a2_support_signature,d6_stabilizer_order,templates,events,mean_d6_orbit_size,burnside_fixed_mass
kink_bridge,"(-5, 1)","(12, 9, 9)",1,1,1,12.0,0.083333
bridge_fork,"(-2, 1)","(12, 9, 8)",1,1,1,12.0,0.083333
adjacent,"(-1, 0)","(9, 9, 9)",1,1,1,12.0,0.083333
rail_ladder,"(-4, 0)","(9, 9, 6)",1,1,1,12.0,0.083333
bridge_fork,"(-2, 1)","(7, 7, 7)",1,1,1,12.0,0.083333
kink_bridge,"(-5, 1)","(8, 7, 7)",1,1,1,12.0,0.083333
kink_bridge,"(-4, 1)","(7, 7, 7)",1,1,1,12.0,0.083333
kink_bridge,"(-5, 2)","(8, 7, 7)",1,1,1,12.0,0.083333
bridge_fork,"(-2, 1)","(9, 9, 9)",1,1,1,12.0,0.083333
kink_bridge,"(-5, 2)","(12, 9, 8)",1,1,1,12.0,0.083333
adjacent,"(-1, 0)","(11, 11, 5)",1,1,1,12.0,0.083333
rail_ladder,"(-3, 0)","(8, 8, 8)",1,1,1,12.0,0.083333
rail_ladder,"(-2, 0)","(10, 9, 8)",1,1,1,12.0,0.083333
adjacent,"(-1, 0)","(12, 9, 9)",1,1,1,12.0,0.083333
kink_bridge,"(-5, 1)","(12, 10, 5)",1,1,1,12.0,0.083333
kink_bridge,"(-6, 3)","(12, 9, 6)",1,1,1,12.0,0.083333
rail_ladder,"(-3, 0)","(10, 9, 8)",1,1,1,12.0,0.083333
kink_bridge,"(-4, 2)","(11, 9, 7)",1,1,1,12.0,0.083333
kink_bridge,"(-6, 2)","(13, 9, 6)",1,1,1,12.0,0.083333
kink_bridge,"(-4, 1)","(9, 9, 6)",1,1,1,12.0,0.083333
kink_bridge,"(-5, 2)","(9, 8, 6)",1,1,1,12.0,0.083333
kink_bridge,"(-5, 2)","(9, 9, 7)",1,1,1,12.0,0.083333
kink_bridge,"(-6, 3)","(10, 9, 8)",1,1,1,12.0,0.083333
rail_ladder,"(-3, 0)","(11, 10, 8)",1,1,1,12.0,0.083333
kink_bridge,"(-6, 3)","(12, 10, 8)",1,1,1,12.0,0.083333
rail_ladder,"(-2, 0)","(10, 9, 9)",1,1,1,12.0,0.083333
rail_ladder,"(-2, 0)","(8, 8, 8)",2,1,1,6.0,0.166667
bridge_fork,"(-2, 1)","(8, 7, 1)",1,1,1,12.0,0.083333
kink_bridge,"(-4, 1)","(9, 7, 7)",1,1,1,12.0,0.083333
kink_bridge,"(-6, 1)","(9, 8, 1)",1,1,1,12.0,0.083333
rail_ladder,"(-4, 0)","(8, 7, 1)",1,1,1,12.0,0.083333
kink_bridge,"(-3, 1)","(9, 8, 2)",1,1,1,12.0,0.083333
kink_bridge,"(-3, 1)","(8, 7, 7)",1,1,1,12.0,0.083333
rail_ladder,"(-4, 0)","(7, 7, 5)",1,1,1,12.0,0.083333
rail,"(-5, 0)","(10, 7, 6)",1,1,1,12.0,0.083333
bridge_fork,"(-2, 1)","(9, 8, 6)",1,1,1,12.0,0.083333
kink_bridge,"(-6, 2)","(10, 9, 9)",1,1,1,12.0,0.083333
kink_bridge,"(-6, 3)","(11, 9, 5)",1,1,1,12.0,0.083333
rail_ladder,"(-2, 0)","(9, 8, 6)",1,1,1,12.0,0.083333
kink_bridge,"(-4, 2)","(9, 8, 6)",1,1,1,12.0,0.083333
kink_bridge,"(-4, 2)","(9, 9, 8)",1,1,1,12.0,0.083333
kink_bridge,"(-5, 1)","(9, 9, 8)",1,1,1,12.0,0.083333
rail_ladder,"(-3, 0)","(12, 9, 8)",1,1,1,12.0,0.083333
kink_bridge,"(-4, 2)","(10, 8, 8)",2,1,1,6.0,0.166667
kink_bridge,"(-7, 1)","(10, 8, 8)",1,1,1,12.0,0.083333
kink_bridge,"(-7, 3)","(9, 9, 8)",1,1,1,12.0,0.083333
kink_bridge,"(-3, 1)","(10, 10, 10)",1,1,1,12.0,0.083333
kink_bridge,"(-4, 2)","(10, 10, 10)",1,1,1,12.0,0.083333
kink_bridge,"(-5, 2)","(9, 9, 8)",1,1,1,12.0,0.083333
kink_bridge,"(-6, 2)","(9, 9, 8)",1,1,1,12.0,0.083333
rail_ladder,"(-3, 0)","(9, 7, 7)",1,1,1,12.0,0.083333
rail_ladder,"(-3, 0)","(10, 9, 6)",1,1,1,12.0,0.083333
rail_ladder,"(-5, 0)","(10, 9, 8)",1,1,1,12.0,0.083333
kink_bridge,"(-6, 1)","(10, 9, 8)",1,1,1,12.0,0.083333
kink_bridge,"(-7, 2)","(10, 9, 8)",1,1,1,12.0,0.083333
adjacent,"(-1, 0)","(9, 6, 6)",1,1,1,12.0,0.083333
kink_bridge,"(-4, 1)","(8, 8, 5)",1,1,1,12.0,0.083333
