rank,pair_shape,frequency
1,"(-1, 0)",14
2,"(-2, 0)",11
3,"(-3, 1)",11
4,"(-3, 0)",9
5,"(-2, 1)",8
6,"(-4, 1)",6
7,"(-4, 0)",6
8,"(-6, 1)",5
9,"(-5, 2)",5
10,"(-5, 1)",3
11,"(-4, 2)",1
12,"(-5, 0)",1
